molecule_id,molecule_name,canonical_smiles,inchi_key,inchi_connectivity_key,functional_group_family,scaffold,has_probe_lambda01,has_probe_lambda05,has_probe_lambda09,complete_three_point_curve,fold_random,fold_family,fold_scaffold,delta_g_exp,delta_g_classical_arrow,delta_g_pimd4,delta_g_pimd8,active_exposure_tier
LVZWSLJZHVFIQJ-UHFFFAOYSA-N,Cyclopropane,C1CC1,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,LVZWSLJZHVFIQJ,Alkanes,C1CC1,True,True,True,True,4,1,4,0.75,0.4458,,1.0406,ARROW-development
RGSFGYAAUTVSQA-UHFFFAOYSA-N,Cyclopentane,C1CCCC1,RGSFGYAAUTVSQA-UHFFFAOYSA-N,RGSFGYAAUTVSQA,Alkanes,C1CCCC1,True,True,True,True,2,1,3,1.2,0.4947,,1.3198,ARROW-development
XDTMQSROBMDMFD-UHFFFAOYSA-N,Cyclohexane,C1CCCCC1,XDTMQSROBMDMFD-UHFFFAOYSA-N,XDTMQSROBMDMFD,Alkanes,C1CCCCC1,True,True,True,True,4,1,1,1.23,0.2,,1.1343,ARROW-development
DMEGYFMYUHOHGS-UHFFFAOYSA-N,Cycloheptane,C1CCCCCC1,DMEGYFMYUHOHGS-UHFFFAOYSA-N,DMEGYFMYUHOHGS,Alkanes,C1CCCCCC1,True,True,True,True,1,1,4,0.789,0.1235,,0.9095,ARROW-development
NNPPMTNAJDCUHE-UHFFFAOYSA-N,Isobutane,CC(C)C,NNPPMTNAJDCUHE-UHFFFAOYSA-N,NNPPMTNAJDCUHE,Alkanes,ACYCLIC::alkanes,True,True,True,True,4,1,1,2.2800000000000002,1.3525,,2.2628,ARROW-development
CRSOQBOWXPBRES-UHFFFAOYSA-N,NeoPentane,CC(C)(C)C,CRSOQBOWXPBRES-UHFFFAOYSA-N,CRSOQBOWXPBRES,Alkanes,ACYCLIC::alkanes,True,True,True,True,3,1,1,2.5,1.4541,,2.3784,ARROW-development
VNWKTOKETHGBQD-UHFFFAOYSA-N,Methane,C,VNWKTOKETHGBQD-UHFFFAOYSA-N,VNWKTOKETHGBQD,Alkanes,ACYCLIC::alkanes,True,True,True,True,0,1,1,1.9598,1.6352,,1.8687,ARROW-development
OTMSDBZUPAUEDD-UHFFFAOYSA-N,Ethane,CC,OTMSDBZUPAUEDD-UHFFFAOYSA-N,OTMSDBZUPAUEDD,Alkanes,ACYCLIC::alkanes,True,True,True,True,3,1,1,1.7925,1.3703,,1.9103,ARROW-development
ATUOYWHBWRKTHZ-UHFFFAOYSA-N,Propane,CCC,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,ATUOYWHBWRKTHZ,Alkanes,ACYCLIC::alkanes,True,True,True,True,1,1,1,1.9598,1.3045,,1.962,ARROW-development
IJDNQMDRQITEOD-UHFFFAOYSA-N,Butane,CCCC,IJDNQMDRQITEOD-UHFFFAOYSA-N,IJDNQMDRQITEOD,Alkanes,ACYCLIC::alkanes,True,True,True,True,0,1,1,2.1032,1.3989,,2.1391,ARROW-development
