molecule_id,partition,repeat,split_seed,fold,complete_three_point_curve
LVZWSLJZHVFIQJ-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,4,True
RGSFGYAAUTVSQA-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,2,True
XDTMQSROBMDMFD-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,4,True
DMEGYFMYUHOHGS-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,1,True
NNPPMTNAJDCUHE-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,4,True
CRSOQBOWXPBRES-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,3,True
VNWKTOKETHGBQD-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,0,True
OTMSDBZUPAUEDD-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,3,True
ATUOYWHBWRKTHZ-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,1,True
IJDNQMDRQITEOD-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,0,True
OFBQJSOFQDEBGM-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,1,True
VLKZOEOYAKHREP-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,3,True
TVMXDCGIABBOFY-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,1,True
VGGSQFUCUMXWEO-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,2,True
QQONPFPTGQHPMA-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,0,True
KAKZBPTYRLMSJV-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,2,True
VXNZUUAINFGPBY-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,4,True
YWAKXRMUMFPDSH-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,3,True
BAVYZALUXZFZLV-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,0,True
ROSDSFDQCJNGOL-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,3,True
GETQZCLCWQTVFV-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,2,True
HQABUPZFAYXKJW-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,3,True
QUSNBJAOOMFDIB-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,0,False
LCGLNKUTAGEVQW-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,2,True
RTZKZFJDLAIYFH-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,2,False
XTHFKEDIFFGKHM-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,4,False
VNKYTQGIUYNRMY-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,1,False
IKHGUXGNUITLKF-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,4,True
NBBJYMSMWIIQGU-UHFFFAOYSA-N,standardized_exclusion_primary,-1,,0,True
