partition,repeat,split_seed,method,lambda_subset,response_scope,trajectory_fraction,shuffle_seed,mae,rmse,median_absolute_error,fraction_with_absolute_error_below_0p2,n
standardized_exclusion_primary,-1,,P1-0_structure_only,none,none,0.0,,0.29977847848385736,0.5992624691355208,0.19390991347001818,0.5555555555555556,72
standardized_exclusion_primary,-1,,P1-A_frozen_solvai,none,none,0.0,,0.1803923092023077,0.2873888731012851,0.10745459755291176,0.7638888888888888,72
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5_0p9,total,0.1,,0.17688591039912127,0.2832341845418447,0.09693193504258157,0.7777777777777778,72
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5_0p9,total,0.1,,0.17897265392879855,0.27966355569883133,0.11399843368310347,0.7638888888888888,72
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.1,,0.18272350768310336,0.2909202201791152,0.11826752315960487,0.75,72
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5_0p9,total,0.2,,0.18182981969551942,0.28836878771832175,0.11072293651616438,0.7638888888888888,72
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5_0p9,total,0.2,,0.17509544944316888,0.27495339192540763,0.10019904561542725,0.8055555555555556,72
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.2,,0.18370425568295767,0.29051293893958385,0.11584070324211693,0.75,72
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5_0p9,total,0.4,,0.1778063175851695,0.285342511217915,0.10919546331507268,0.7777777777777778,72
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5_0p9,total,0.4,,0.18452716308512515,0.29179341664451897,0.11118343699819289,0.75,72
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.4,,0.18466015216150383,0.2914450942618869,0.11528295198632743,0.7361111111111112,72
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5_0p9,total,0.7,,0.18063761343845133,0.2868769224179695,0.11941976064598092,0.7916666666666666,72
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5_0p9,total,0.7,,0.18335943809395852,0.2914956566147321,0.11015497642072847,0.75,72
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.7,,0.18451538441969775,0.29083377093311313,0.11516897420462269,0.75,72
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1,total,1.0,,0.1821386427123564,0.29056774394902757,0.11513352266055932,0.75,72
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1,total,1.0,,0.1823787638313615,0.29098796072198646,0.1102280784902776,0.75,72
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1,total,1.0,,0.18369364809737798,0.2921572553452244,0.11329422495333519,0.75,72
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p5,total,1.0,,0.17950216930820334,0.28543069378204766,0.11185114191362988,0.7777777777777778,72
standardized_exclusion_primary,-1,,P1-C_actual_response,0p5,total,1.0,,0.1820155489144702,0.29036883139376707,0.11604405127585182,0.75,72
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p5,total,1.0,,0.1818983273526085,0.29061480087558617,0.11480708259368355,0.75,72
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p9,total,1.0,,0.18097111204844585,0.2893954017038225,0.11416579831167095,0.7777777777777778,72
standardized_exclusion_primary,-1,,P1-C_actual_response,0p9,total,1.0,,0.18188601080130326,0.29056714545672585,0.11503338079974812,0.75,72
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p9,total,1.0,,0.18163430910156286,0.2886402967971876,0.10578759289808004,0.75,72
