functional_group_family,n,frozen_mae,active_mae,mean_difference,fraction_improved
Alkenes,5,0.09537383514991157,0.09176541380257239,-0.003608421347339179,0.6
Thiols,3,0.10707633812463276,0.10466518646646643,-0.00241115165816634,0.6666666666666666
Sulfides,4,0.12158766038359842,0.11995173233552382,-0.0016359280480745982,0.75
Ketones,5,0.15964386680776044,0.15951212782758017,-0.00013173898018025847,0.6
Aldehydes,3,0.1612787186654916,0.16175719485834297,0.0004784761928513838,0.3333333333333333
Alkanes,13,0.2379644693359113,0.23945857883395097,0.0014941094980396937,0.3076923076923077
Alcohols,8,0.10693624366181678,0.11027115736586672,0.003334913704049948,0.25
Esters,4,0.05596773533950612,0.060979062958964755,0.0050113276194586375,0.0
Amines,4,0.19163793483245015,0.1971282009226894,0.0054902660902392455,0.0
Aromatics,11,0.254870697370531,0.2613096992055866,0.00643900183505566,0.36363636363636365
Heterorings,5,0.16435113253968414,0.17194229435813718,0.007591161818453038,0.0
Amides,3,0.5170052035567297,0.5253900882590412,0.008384884702311428,0.3333333333333333
Acids,3,0.2362775301293363,0.24934214478433933,0.013064614655002997,0.0
Ethers,1,0.027818578483245027,0.048315095951113475,0.020496517467868448,0.0
