partition,repeat,method,lambda_subset,mae,rmse,median_absolute_error,fraction_with_absolute_error_below_0p2,n,mae_vs_pimd8
standardized_exclusion_primary,-1,P1-E_actual_integral_affine,0p1_0p5_0p9,1.4453761068529933,1.8003056207324177,1.351887663359648,0.09722222222222222,72,1.4422861214260445
standardized_exclusion_primary,-1,P1-F_generic_posterior_integral_affine,0p1,1.3059359436892422,1.6573905170174683,1.0476194639129064,0.16666666666666666,72,1.2831272737017811
standardized_exclusion_primary,-1,P1-F_solvai_conditioned_posterior_integral_affine,0p1,1.1579142859263665,1.4996777566174297,0.8834715905261823,0.08333333333333333,72,1.1507997970909847
standardized_exclusion_primary,-1,P1-F_generic_posterior_integral_affine,0p5,2.626591342092897,3.1728507937314583,2.222962149064396,0.041666666666666664,72,2.5995525746706094
standardized_exclusion_primary,-1,P1-F_solvai_conditioned_posterior_integral_affine,0p5,1.8400484954660294,2.310006165042954,1.5091117435115686,0.05555555555555555,72,1.8676301043244716
standardized_exclusion_primary,-1,P1-F_generic_posterior_integral_affine,0p9,2.585432909465764,3.171839197647972,1.9704609550488936,0.041666666666666664,72,2.563604107282244
standardized_exclusion_primary,-1,P1-F_solvai_conditioned_posterior_integral_affine,0p9,1.590881165560065,2.1333303734948315,1.308852818073274,0.08333333333333333,72,1.6060043748731891
standardized_exclusion_primary,-1,P1-F_generic_posterior_integral_affine,0p1_0p5,1.7287424392066888,2.129696630110932,1.5808625013269721,0.06944444444444445,72,1.717907682365016
standardized_exclusion_primary,-1,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p5,1.3645436059924811,1.6803331496715372,1.1605797003098484,0.09722222222222222,72,1.3554128466276394
standardized_exclusion_primary,-1,P1-F_generic_posterior_integral_affine,0p1_0p9,0.9646774164630733,1.2695115132904988,0.7750725742399325,0.16666666666666666,72,0.9813133918882517
standardized_exclusion_primary,-1,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p9,1.2185862622601948,1.5269918801540072,0.9841980729084693,0.08333333333333333,72,1.2023779682724538
standardized_exclusion_primary,-1,P1-F_generic_posterior_integral_affine,0p5_0p9,2.6292360204055854,3.1620217744204386,2.1960088060261542,0.041666666666666664,72,2.60359296485003
standardized_exclusion_primary,-1,P1-F_solvai_conditioned_posterior_integral_affine,0p5_0p9,1.8037475059077939,2.3228829817302032,1.3626737512695497,0.05555555555555555,72,1.8413606480307831
standardized_exclusion_primary,-1,P1-F_generic_posterior_integral_affine,0p1_0p5_0p9,1.403024865988502,1.751448624845463,1.2746088362176755,0.1111111111111111,72,1.3990769480254055
standardized_exclusion_primary,-1,P1-F_solvai_conditioned_posterior_integral_affine,0p1_0p5_0p9,1.3630326622576239,1.7045651519632943,1.2191864993727122,0.1111111111111111,72,1.376250542947692
standardized_exclusion_repeat,0,P1-E_actual_integral_affine,0p1_0p5_0p9,1.4237763147246554,1.78833601034037,1.257443040026321,0.125,72,1.4640606877416016
standardized_exclusion_repeat,0,P1-F_generic_posterior_integral_affine,0p1,1.2721182511565747,1.6532960561347094,0.9794873609388118,0.125,72,1.280721827198624
standardized_exclusion_repeat,0,P1-F_solvai_conditioned_posterior_integral_affine,0p1,1.1052018615976196,1.4784327289731374,0.726058826297906,0.09722222222222222,72,1.11418412538727
