partition,repeat,split_seed,method,lambda_subset,response_scope,trajectory_fraction,shuffle_seed,mean_absolute_error_difference,ci_low_95,ci_high_95,probability_lower_error,fraction_molecules_improved
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5_0p9,total,0.1,,-0.003506398803186419,-0.010616787186474434,0.0033256020954723657,0.83953,0.5277777777777778
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5_0p9,total,0.1,,-0.0014196552735091402,-0.00946151665906661,0.006616076761830279,0.63608,0.5
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.1,,0.002331198480795672,-0.0020308422448296107,0.00680327740378918,0.15108,0.4444444444444444
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5_0p9,total,0.2,,0.0014375104932117476,-0.008438485285480855,0.01172055635625434,0.39629,0.5
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5_0p9,total,0.2,,-0.005296859759138808,-0.015159779879167569,0.0043966996164694,0.85586,0.5416666666666666
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.2,,0.0033119464806499865,-0.0023802418868975263,0.009611269526332197,0.13461,0.4583333333333333
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5_0p9,total,0.4,,-0.0025859916171382166,-0.014645329573376107,0.01011902458620358,0.66311,0.625
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5_0p9,total,0.4,,0.00413485388281745,-0.0018606815658963618,0.01015334704681608,0.0876,0.4583333333333333
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.4,,0.00426784295919618,-0.0006018957288686958,0.009528501944593643,0.04423,0.4305555555555556
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5_0p9,total,0.7,,0.00024530423614362723,-0.009900435975893239,0.01133932268602706,0.49372,0.5277777777777778
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5_0p9,total,0.7,,0.002967128891650826,-0.0004798764835583409,0.006405482253283382,0.04491,0.4027777777777778
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,0.7,,0.0041230752173900855,-0.0010705356954571492,0.009661102182564664,0.06218,0.4305555555555556
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1,total,1.0,,0.0017463335100487028,-0.0011272923908811105,0.004651073064732895,0.11758,0.4305555555555556
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1,total,1.0,,0.0019864546290538176,-0.002305993478464189,0.006262134492941989,0.1832,0.4305555555555556
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1,total,1.0,,0.0033013388950703087,-0.001357906997259321,0.008281400443240619,0.08501,0.4722222222222222
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p5,total,1.0,,-0.0008901398941043551,-0.007791118325843506,0.00606644356930532,0.59964,0.5138888888888888
standardized_exclusion_primary,-1,,P1-C_actual_response,0p5,total,1.0,,0.0016232397121624912,-0.0012770721439173008,0.004539663267764512,0.13592,0.4305555555555556
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p5,total,1.0,,0.0015060181503008083,-0.0021022584338928328,0.005110000227654103,0.20512,0.4861111111111111
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p9,total,1.0,,0.0005788028461381651,-0.004099881307743537,0.005267655795125103,0.40556,0.4722222222222222
standardized_exclusion_primary,-1,,P1-C_actual_response,0p9,total,1.0,,0.001493701598995567,-0.0014297218564829695,0.004431120558745784,0.1589,0.4305555555555556
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p9,total,1.0,,0.0012419998992551802,-0.0036435534835390715,0.006110180371328139,0.30682,0.5138888888888888
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5,total,1.0,,0.0025534106547621385,-0.007754316308609754,0.013865298076623645,0.33012,0.5833333333333334
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5,total,1.0,,0.0026451486069103344,-0.0009664753082355225,0.006296344289522652,0.07556,0.4305555555555556
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5,total,1.0,,0.0028979707319953785,-0.001714384472035558,0.00790466366235319,0.11587,0.5138888888888888
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p9,total,1.0,,0.0007584156640599783,-0.005886369778865198,0.007589550327751927,0.41519,0.5
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p9,total,1.0,,0.003678498181286047,-0.003191062233165225,0.010830055459139037,0.14918,0.4444444444444444
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p9,total,1.0,,0.0025889216426294914,-0.002334219774949404,0.007831071856387272,0.15777,0.5
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p5_0p9,total,1.0,,0.002763905570167459,-0.0033442218318043013,0.009068582380177277,0.19042,0.5416666666666666
standardized_exclusion_primary,-1,,P1-C_actual_response,0p5_0p9,total,1.0,,0.0015629204907759901,-0.0013877476269172967,0.004518177452195139,0.14914,0.4166666666666667
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p5_0p9,total,1.0,,0.0010372071170322865,-0.0032882023133800784,0.005384268513836792,0.31855,0.4305555555555556
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5_0p9,total,1.0,,0.0026854380629793024,-0.007477570692693323,0.013731030766020698,0.31585,0.5416666666666666
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5_0p9,total,1.0,,0.0030514058927031554,-0.0008216436381937149,0.0070316310887249675,0.06108,0.3888888888888889
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1_0p5_0p9,total,1.0,,0.0025114329718329493,-0.0024978040523260386,0.007851960254938168,0.16886,0.5138888888888888
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1,components,1.0,,0.004178874680428188,-0.0036001978308329873,0.01235894508124408,0.15096,0.5138888888888888
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1,components,1.0,,-0.0030244576641241683,-0.01923731589087684,0.015270916549281388,0.64754,0.5555555555555556
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p1,components,1.0,,-0.003292910778869852,-0.010486535230205077,0.00445643728342099,0.81013,0.5555555555555556
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p5,components,1.0,,0.00463006888852504,-0.005585609721769988,0.015629330729227394,0.19775,0.5694444444444444
standardized_exclusion_primary,-1,,P1-C_actual_response,0p5,components,1.0,,0.0069991170307594,-0.004429089619672402,0.019726332772585748,0.12387,0.4861111111111111
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p5,components,1.0,,0.0018704705181981686,-0.0015343303368358019,0.00542563352237801,0.14423,0.4305555555555556
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p9,components,1.0,,0.0023357019807552556,-0.004062180315874631,0.008968151353897332,0.24072,0.5138888888888888
standardized_exclusion_primary,-1,,P1-C_actual_response,0p9,components,1.0,,0.0012436170820352946,-0.0021171335542270043,0.004674967448738408,0.23346,0.4861111111111111
standardized_exclusion_primary,-1,,P1-D_actual_minus_predicted,0p9,components,1.0,,0.0013261318429239795,-0.0017242746094131556,0.004396889752596179,0.19607,0.4305555555555556
standardized_exclusion_primary,-1,,P1-B_predicted_response,0p1_0p5,components,1.0,,0.0014674691535231485,-0.00830739226516337,0.011561862693906116,0.39132,0.5555555555555556
standardized_exclusion_primary,-1,,P1-C_actual_response,0p1_0p5,components,1.0,,0.0001852498053784599,-0.011535373413939431,0.012666615382465383,0.49444,0.5833333333333334
