partition,repeat,trajectory_fraction,lambda,component,n,mae
standardized_exclusion_primary,-1,0.1,0.1,coulomb,72,5.938319170023405
standardized_exclusion_primary,-1,0.1,0.1,coulomb_softcore,72,4.2926692159024995
standardized_exclusion_primary,-1,0.1,0.1,long_range_correction,72,0.1130388591997051
standardized_exclusion_primary,-1,0.1,0.1,pme,72,0.6881837381644387
standardized_exclusion_primary,-1,0.1,0.1,total,72,6.1579315971673685
standardized_exclusion_primary,-1,0.1,0.1,van_der_waals,72,5.857757772137135
standardized_exclusion_primary,-1,0.1,0.1,van_der_waals_softcore,72,2.1434631905770356
standardized_exclusion_primary,-1,0.1,0.5,coulomb,72,4.616133207307002
standardized_exclusion_primary,-1,0.1,0.5,coulomb_softcore,72,2.570651739350899
standardized_exclusion_primary,-1,0.1,0.5,long_range_correction,72,0.06311854448361798
standardized_exclusion_primary,-1,0.1,0.5,pme,72,0.24580290933842872
standardized_exclusion_primary,-1,0.1,0.5,total,72,3.0895395600401754
standardized_exclusion_primary,-1,0.1,0.5,van_der_waals,72,4.123706271797893
standardized_exclusion_primary,-1,0.1,0.5,van_der_waals_softcore,72,0.9279297413324077
standardized_exclusion_primary,-1,0.1,0.9,coulomb,72,7.697325122313513
standardized_exclusion_primary,-1,0.1,0.9,coulomb_softcore,72,1.5227359147832151
standardized_exclusion_primary,-1,0.1,0.9,long_range_correction,72,0.012525018687373761
standardized_exclusion_primary,-1,0.1,0.9,pme,72,0.04748327687903947
standardized_exclusion_primary,-1,0.1,0.9,total,72,7.128072099350978
standardized_exclusion_primary,-1,0.1,0.9,van_der_waals,72,2.0811234828038603
standardized_exclusion_primary,-1,0.1,0.9,van_der_waals_softcore,72,0.18054851574726385
standardized_exclusion_primary,-1,0.2,0.1,coulomb,72,6.235939464737333
standardized_exclusion_primary,-1,0.2,0.1,coulomb_softcore,72,4.168188368465589
standardized_exclusion_primary,-1,0.2,0.1,long_range_correction,72,0.11846537293533495
standardized_exclusion_primary,-1,0.2,0.1,pme,72,0.5761672558524407
standardized_exclusion_primary,-1,0.2,0.1,total,72,5.940265802732912
standardized_exclusion_primary,-1,0.2,0.1,van_der_waals,72,5.848985283952667
standardized_exclusion_primary,-1,0.2,0.1,van_der_waals_softcore,72,2.0441203859337445
standardized_exclusion_primary,-1,0.2,0.5,coulomb,72,4.396410869157963
standardized_exclusion_primary,-1,0.2,0.5,coulomb_softcore,72,2.5230810658920593
standardized_exclusion_primary,-1,0.2,0.5,long_range_correction,72,0.06642475442148454
