prior,lengthscale,noise_inflation,mean_nlpd
generic,0.08,1.0,5.710943536141246
generic,0.08,2.0,5.760814592559627
generic,0.08,4.0,5.874155798384722
generic,0.12,4.0,6.049826331625146
generic,0.12,2.0,6.093072892946594
generic,0.12,1.0,6.211269129153699
generic,0.18,4.0,6.61739367769697
generic,0.18,2.0,7.13582953873203
generic,0.25,4.0,7.327851416653246
generic,0.18,1.0,7.832322093490472
generic,0.35,4.0,7.999815475678343
generic,0.25,2.0,8.69257354048777
generic,0.35,2.0,10.34767318748076
generic,0.25,1.0,10.730157677979602
generic,0.35,1.0,14.590167041785888
solvai,0.08,4.0,3.8199860875083314
solvai,0.08,2.0,3.86355404876036
solvai,0.08,1.0,3.90980918436276
solvai,0.12,4.0,4.066875303694573
solvai,0.12,2.0,4.223712943980233
solvai,0.12,1.0,4.393241861573339
solvai,0.18,4.0,4.517976213513484
solvai,0.18,2.0,4.941032464426737
solvai,0.25,4.0,5.132014629055631
solvai,0.18,1.0,5.432702293768573
solvai,0.35,4.0,5.997486437867739
solvai,0.25,2.0,6.041034905938185
solvai,0.25,1.0,7.215447682682749
solvai,0.35,2.0,7.803853887127389
solvai,0.35,1.0,10.581847828289021
