molecule_name,functional_group_family,total_windows,dense_integral_kcal_mol,mean_window_sem_kcal_mol,maximum_window_sem_kcal_mol,active_absolute_error_kcal_mol,uniform_direct_absolute_error_kcal_mol,generic_bq_absolute_error_kcal_mol,fixed_direct_absolute_error_kcal_mol,oracle_absolute_error_kcal_mol,active_minus_uniform_direct_absolute_error_kcal_mol,active_observed_lambdas,uniform_observed_lambdas,oracle_observed_lambdas,active_covered_90,active_interval_width_90_kcal_mol
Acetamide,Amides,5,-13.29908346944203,2.3350233638664277,5.795625556156035,3.00403253745416,0.8612275429177849,1.9803829188729463,1.0973294978393664,0.8729445497499668,2.142804994536375,"0.1,0.5,0.9,0.3,0.7","0.1,0.5,0.9,0.3,0.7","0.1,0.5,0.9,0.05,0.6",False,5.588111310242935
Acetamide,Amides,7,-13.29908346944203,2.3350233638664277,5.795625556156035,3.669622397367581,0.10410362539637141,1.4318944612373325,0.7979410664325588,0.13787419684858016,3.5655187719712096,"0.1,0.5,0.9,0.3,0.7,0.4,0.2","0.1,0.5,0.9,0.3,0.7,0,0.2","0.1,0.5,0.9,0.05,0.6,1,0.3",False,4.985674658339841
AceticAcid,Acids,5,-8.68141790360488,1.7428924806838515,4.931429962285801,1.9149875214223062,1.5212496543896865,1.1898824975111513,1.815343017017371,0.02694382968711828,0.3937378670326197,"0.1,0.5,0.9,0.3,0.7","0.1,0.5,0.9,0.3,0.7","0.1,0.5,0.9,0.2,0.85",True,4.616858703573972
AceticAcid,Acids,7,-8.68141790360488,1.7428924806838515,4.931429962285801,1.2930585393528524,1.2689159318909216,0.592271306383708,2.1871098169034653,0.05114822884200798,0.024142607461930865,"0.1,0.5,0.9,0.3,0.7,0.4,0.2","0.1,0.5,0.9,0.3,0.7,0,0.2","0.1,0.5,0.9,0.2,0.85,0,0.75",True,3.9178364333503763
Anthracene,Aromatics,5,-10.817676767039977,2.886822315944735,8.239354702584107,2.0787845349420877,0.6093252027138298,0.31961419904878596,0.7400395352752778,0.29510709472588204,1.4694593322282579,"0.1,0.5,0.9,0.7,0.3","0.1,0.5,0.9,0.3,0.7","0.1,0.5,0.9,0.95,0.75",True,6.444877398652229
Anthracene,Aromatics,7,-10.817676767039977,2.886822315944735,8.239354702584107,2.73344275919184,0.6799440218703516,0.23004830416323863,0.49076330688250636,0.007957744812872036,2.0534987373214886,"0.1,0.5,0.9,0.7,0.3,0.85,0.4","0.1,0.5,0.9,0.3,0.7,0,0.2","0.1,0.5,0.9,0.95,0.75,0.05,0.8",True,5.888142582765459
Cyclohexane,Alkanes,5,-2.084956471549517,2.0754086700885046,4.285736442370339,0.4227913717389349,0.08756545997945842,1.4231431120516111,1.8778083705122506,0.07485318163386356,0.33522591175947647,"0.1,0.5,0.9,0.7,0.3","0.1,0.5,0.9,0.3,0.7","0.1,0.5,0.9,0.2,0",True,5.24488377523775
Cyclohexane,Alkanes,7,-2.084956471549517,2.0754086700885046,4.285736442370339,0.9619266523539267,0.17268129668199172,1.9511551645104745,0.4498220336305794,0.036913504772928984,0.789245355671935,"0.1,0.5,0.9,0.7,0.3,0.85,0.4","0.1,0.5,0.9,0.3,0.7,0,0.2","0.1,0.5,0.9,0.2,0,0.8,0.05",True,4.983842523554709
DiMethylEther,Ethers,5,-3.8096291546978227,1.122240291400946,2.03910593503891,2.150578825978034,1.8257465030593627,2.456515076589082,2.5349968340922304,0.03582485500272581,0.32483232291867115,"0.1,0.5,0.9,0.3,0.7","0.1,0.5,0.9,0.3,0.7","0.1,0.5,0.9,0.8,0.2",False,3.7415255204824502
DiMethylEther,Ethers,7,-3.8096291546978227,1.122240291400946,2.03910593503891,1.3873831603641031,1.8885214764917153,1.7551647713019376,2.4987754445456547,0.006091211042859701,-0.5011383161276122,"0.1,0.5,0.9,0.3,0.7,0.4,0.2","0.1,0.5,0.9,0.3,0.7,0,0.2","0.1,0.5,0.9,0.8,0.2,0.85,0.05",True,3.2273087402379685
