method,total_windows,n,integral_mae_kcal_mol,signed_integral_bias_kcal_mol,hidden_curve_mae_kcal_mol,maximum_hidden_error_kcal_mol,coverage_90,mean_interval_width_90_kcal_mol,mean_measured_window_wall_seconds
active_solvai_bq,3,8,1.887722677765843,-0.6265693556419405,9.060850783813905,62.86395142259337,0.875,7.721671638524983,732.0484075236745
active_solvai_bq,4,8,1.5148376736940485,-0.11842593457810735,9.392060091864728,62.8716004460156,1.0,6.551574715367031,780.3088158441678
active_solvai_bq,5,8,1.7012483627017274,-0.15310440079917037,10.09265925057713,62.871604813845885,0.75,5.4055119585966835,828.9637835380709
active_solvai_bq,7,8,1.6075147216618912,0.41670779674135117,11.25891513283279,62.323595905367924,0.875,4.892608835662271,926.7026009128749
active_solvai_bq,9,8,1.4383382914503375,0.7254077438897614,13.344589411540317,62.32584035179524,0.75,4.330977872428109,1026.4643425117683
active_solvai_bq,12,8,0.8658377417608023,-0.3740632506568275,12.446332213353893,40.13584166918959,1.0,3.5717888035257794,1170.2317443891807
active_solvai_bq,15,8,1.2141652668040583,-0.9397154989375659,0.0,0.0,0.75,3.3821256417012795,1315.9852314693708
curvature_solvai_bq,3,8,1.887722677765843,-0.6265693556419405,9.060850783813905,62.86395142259337,0.875,7.721671638524983,732.0484075236745
curvature_solvai_bq,4,8,1.3911515147221498,0.01981556347227942,9.260589436292516,62.8716004460156,1.0,6.539769446657745,782.9657215307961
curvature_solvai_bq,5,8,1.5210603025344136,0.027083659368143442,10.021244677007305,62.871604813845885,0.75,5.57033989941607,828.7330363990477
curvature_solvai_bq,7,8,1.508282472047253,0.2846232040104868,11.685937742528441,62.323595905367924,0.875,4.925912508206399,928.1670443405601
curvature_solvai_bq,9,8,1.131898389916615,0.2955979018047541,13.02773827235065,62.32588071237737,0.875,4.303949393140141,1025.888234213795
curvature_solvai_bq,12,8,2.0165772889364426,-1.2255184365602545,12.009618047111308,62.3258708926993,0.625,3.661663482559992,1171.9756547591678
curvature_solvai_bq,15,8,1.2141652668040588,-0.9397154989375666,0.0,0.0,0.75,3.38212564170128,1315.9852314693708
fixed_direct,3,8,1.2375547825318403,-1.1769378166907398,8.625995793215584,42.38061384267429,,,732.0484075236745
fixed_direct,4,8,1.4213828995424063,-1.4213828995424063,7.338512965243042,40.682830176883535,,,781.9368537815026
fixed_direct,5,8,1.7270704912413557,-1.7270704912413557,4.946619628568541,30.534337871122982,,,828.7232128613832
fixed_direct,7,8,1.6909009921465832,-1.2938026081753213,5.903022872070922,38.14774032565816,,,925.6385888757795
fixed_direct,9,8,1.9018583151063029,-1.4805150298077323,6.494829677915024,38.14774032565816,,,1020.1807640017796
fixed_direct,12,8,1.2713749011393727,-1.0475309235090213,9.867325820217891,39.25586416188499,,,1168.6176098277356
fixed_direct,15,8,0.0,0.0,0.0,0.0,,,1315.9852314693708
fixed_solvai_bq,3,8,1.887722677765843,-0.6265693556419405,9.060850783813905,62.86395142259337,0.875,7.721671638524983,732.0484075236745
fixed_solvai_bq,4,8,1.936075653380236,-0.8694585001565787,7.903703180558837,40.40489295989552,1.0,7.6966618136277285,781.9368537815026
fixed_solvai_bq,5,8,3.0441494667919726,-2.4913955962326018,6.226340275794202,40.4048929599215,0.75,7.585969373776452,828.7232128613832
fixed_solvai_bq,7,8,2.547897011055405,-2.056241766947679,6.873223214855281,40.4175252563695,0.5,5.201795071113441,925.6385888757795
fixed_solvai_bq,9,8,1.7990834453376956,-1.6461708692352452,5.942195200520865,38.16332423632302,0.625,5.074127955538953,1020.1807640017796
fixed_solvai_bq,12,8,1.3024329426870602,-1.192401941819239,8.770620810811126,38.37421800158364,0.625,4.214663050791803,1168.6176098277356
fixed_solvai_bq,15,8,1.2141652668040586,-0.9397154989375658,0.0,0.0,0.75,3.3821256417012795,1315.9852314693708
full_dense_reference,15,8,0.0,0.0,0.0,0.0,,,1315.9852314693708
generic_bq,3,8,1.9750302068766525,-1.2873232235209686,7.310067565431855,57.05386098332959,0.875,8.037423228834571,732.0484075236745
generic_bq,4,8,1.8121640729790167,-0.15622187588298908,7.284499059296248,57.0538613074246,1.0,6.549815304856742,778.9677516219235
generic_bq,5,8,1.7095260341436944,-0.8540173515440056,7.505837881015196,57.14080791338654,0.75,4.4213734109035805,828.9637835380709
generic_bq,7,8,1.1144982433475654,-0.7565246280382323,7.895836074836214,57.14356705802,0.75,3.7316791869384196,927.2739145734668
generic_bq,9,8,0.9112776794249688,-0.3985990092188491,9.523051124093286,55.78683623223533,0.75,2.9714942618532403,1026.625856115439
generic_bq,12,8,0.4377288754154931,-0.3503125621107469,6.90431860758295,32.65442125721692,0.875,2.101887206006907,1170.2317443891807
generic_bq,15,8,0.47509742811928923,-0.4593026307892383,0.0,0.0,0.875,1.9246562187629181,1315.9852314693708
oracle_non_deployable,3,8,1.887722677765843,-0.6265693556419405,9.060850783813905,62.86395142259337,0.875,7.721671638524983,732.0484075236745
oracle_non_deployable,4,8,0.8317713680151368,-0.23729170475956018,8.08336916894232,40.207268804678776,1.0,7.079658702738891,784.1783089908567
oracle_non_deployable,5,8,0.3365798455656114,-0.013333889303347113,8.103452866125028,40.20726845184082,1.0,6.659235045504262,835.4563497854542
oracle_non_deployable,7,8,0.06826557041589926,-0.01469817971214643,9.273687491997455,40.21255128266169,1.0,6.007166921476751,931.5820380195946
oracle_non_deployable,9,8,0.08831338546353207,0.004136774501298457,9.979363324533285,39.54281470218311,1.0,5.130330346262844,1026.7113477637322
oracle_non_deployable,12,8,0.21037654806599015,0.11819956826383314,13.85744516047875,34.53922229056323,1.0,4.06901908268299,1172.8465412093938
oracle_non_deployable,15,8,1.2141652668040586,-0.9397154989375667,0.0,0.0,0.75,3.38212564170128,1315.9852314693708
random_solvai_bq,3,8,1.887722677765843,-0.6265693556419405,9.060850783813905,62.86395142259337,0.875,7.721671638524983,732.0484075236745
random_solvai_bq,4,8,1.90536653942529,-0.6526060836035635,8.968869834273516,62.76901615835072,0.875,7.261603252891509,780.4662316655042
random_solvai_bq,5,8,1.8446025576845546,-0.6555241213069913,8.826403777506425,59.39083991937864,0.85,6.830915024087799,829.8671617432017
random_solvai_bq,7,8,1.955676590137726,-0.9321569102382854,8.411492774567389,53.48995999727178,0.74375,6.023503528079377,927.3401456398511
random_solvai_bq,9,8,1.7383966746964092,-0.9103083480399601,8.086161359226026,47.423654961747474,0.74375,5.212451142176553,1025.1853308447885
random_solvai_bq,12,8,1.4731018408509902,-0.9342055209008107,6.646839347810307,24.25615042659155,0.7937500000000001,4.25323454839385,1171.162086210023
random_solvai_bq,15,8,1.2141652668040586,-0.9397154989375661,0.0,0.0,0.75,3.3821256417012795,1315.9852314693708
uniform_direct,3,8,1.2375547825318403,-1.1769378166907398,8.625995793215584,42.38061384267429,,,732.0484075236745
uniform_direct,4,8,0.9877296215774585,-0.8354950321087224,8.62651974390782,44.608641989843406,,,782.0444394398219
uniform_direct,5,8,1.1528798376874347,-0.18748058789917332,8.717368125538147,44.58680918109539,,,828.9637835380709
uniform_direct,7,8,1.0917466750866385,-0.46870749017059155,8.695889284949688,44.58680918109539,,,927.5138609603018
uniform_direct,9,8,0.5920161638377097,-0.16692979389676926,10.872041284142067,49.15026753073967,,,1027.2890756218549
uniform_direct,12,8,0.36774054825680025,-0.04471725484749467,5.163563322303445,19.550687641867714,,,1172.3793431956292
uniform_direct,15,8,0.0,0.0,0.0,0.0,,,1315.9852314693708
uniform_solvai_bq,3,8,1.887722677765843,-0.6265693556419405,9.060850783813905,62.86395142259337,0.875,7.721671638524983,732.0484075236745
uniform_solvai_bq,4,8,1.3446208405694011,-0.05942470597639782,9.307781958232672,62.8716004460156,1.0,6.468708943510684,782.0444394398219
uniform_solvai_bq,5,8,1.7012483627017274,-0.15310440079917037,10.09265925057713,62.871604813845885,0.75,5.4055119585966835,828.9637835380709
uniform_solvai_bq,7,8,1.625228461746672,-0.17928291652230788,9.510145250867204,40.056036207418785,0.75,5.1669932214635015,927.5138609603018
