method,total_windows,n_molecules,mae_kcal_mol,ci90_low,ci90_high,ci95_low,ci95_high,mean_coverage_90
active_solvai_bq,5,8,1.973230776679979,1.5189849199418024,2.4280994886904788,1.433294129327721,2.512276277775758,0.7291666666666667
active_solvai_bq,7,8,2.1223260597098292,1.5436427842739073,2.753497395904379,1.4500310835244155,2.8869437527917357,0.6875
crossfit_oracle_bq,5,8,1.7320793655574391,1.2702544913299292,2.224103992619372,1.1912773762736646,2.314372269626361,0.8541666666666666
crossfit_oracle_bq,7,8,1.6812438015638556,1.174188612474346,2.199129867460635,1.0969505955874401,2.3388057543136545,0.8333333333333333
fixed_direct,5,8,1.835348300268484,1.4787259467440488,2.1962654340498036,1.4154093466409814,2.261029200435226,
fixed_direct,7,8,1.7641155622429938,1.259503737923694,2.276825689661641,1.1608437380483396,2.3705529521448807,
fixed_solvai_bq,5,8,3.073128616384353,2.204776758867448,4.06625764087295,2.1089232900566914,4.27726555009994,0.7708333333333333
fixed_solvai_bq,7,8,2.5589711199693195,1.7734368663567717,3.3929048366863843,1.6391790233713814,3.55114286019508,0.5833333333333334
generic_bq,5,8,1.8004320504290665,1.297874334717513,2.362741580530649,1.224321122862043,2.475595102284144,0.6041666666666667
generic_bq,7,8,1.2732295689921886,0.919756089959782,1.6266530817681404,0.8610771785924823,1.686889932881725,0.7708333333333333
uniform_direct,5,8,1.30107586790933,1.0148015862667554,1.6174973535413077,0.9704002233534784,1.6822032328985572,
uniform_direct,7,8,1.2724751749654484,0.999808918278533,1.54701773107395,0.9538241687114488,1.5984527052115507,
uniform_solvai_bq,5,8,1.973230776679979,1.5189849199418024,2.4280994886904788,1.433294129327721,2.512276277775758,0.7291666666666667
uniform_solvai_bq,7,8,1.7735330103317994,1.448922232186093,2.1136496394753843,1.39315300659785,2.182517745266631,0.8125
