molecule_name,molecule_id,split,total_windows,added_lambdas,added_indices
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,0,5,"1,0.3","14,4"
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,0,7,"1,0.3,0.6,0.7","14,4,7,8"
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,1,5,"0.95,0.2","13,3"
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,1,7,"0.95,0.2,0.7,0.6","13,3,8,7"
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,2,5,"0.95,0.6","13,7"
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,2,7,"0.95,0.6,0.4,0.2","13,7,5,3"
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,3,5,"0.75,0.05","9,1"
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,3,7,"0.75,0.05,0.8,0.85","9,1,10,11"
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,4,5,"0.75,0.6","9,7"
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,4,7,"0.75,0.6,0.2,0.85","9,7,3,11"
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,5,5,"0.7,0.4","8,5"
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,5,7,"0.7,0.4,0,0.05","8,5,0,1"
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,0,5,"0.8,0.75","10,9"
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,0,7,"0.8,0.75,0.6,0.85","10,9,7,11"
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,1,5,"0.4,0.8","5,10"
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,1,7,"0.4,0.8,0.3,0","5,10,4,0"
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,2,5,"0.8,0.7","10,8"
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,2,7,"0.8,0.7,0.6,0.85","10,8,7,11"
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,3,5,"0.4,0.8","5,10"
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,3,7,"0.4,0.8,0.2,0","5,10,3,0"
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,4,5,"0.8,0.4","10,5"
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,4,7,"0.8,0.4,0,0.3","10,5,0,4"
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,5,5,"0.4,0","5,0"
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,5,7,"0.4,0,0.2,0.8","5,0,3,10"
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,0,5,"0.05,0.2","1,3"
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,0,7,"0.05,0.2,0.8,0.75","1,3,10,9"
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,1,5,"0.05,0.7","1,8"
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,1,7,"0.05,0.7,0.2,0.75","1,8,3,9"
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,2,5,"0.3,0.2","4,3"
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,2,7,"0.3,0.2,0.75,0.7","4,3,9,8"
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,3,5,"0.4,0.7","5,8"
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,3,7,"0.4,0.7,0.75,0.95","5,8,9,13"
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,4,5,"0.2,0.6","3,7"
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,4,7,"0.2,0.6,0.4,0.85","3,7,5,11"
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,5,5,"0.3,0.85","4,11"
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,5,7,"0.3,0.85,0.4,0.2","4,11,5,3"
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0,5,"0.4,0.05","5,1"
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0,7,"0.4,0.05,0,0.6","5,1,0,7"
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,1,5,"0.2,0.8","3,10"
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,1,7,"0.2,0.8,0.3,0","3,10,4,0"
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,2,5,"0.2,0.6","3,7"
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,2,7,"0.2,0.6,0.85,0.3","3,7,11,4"
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,3,5,"0.3,0.8","4,10"
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,3,7,"0.3,0.8,0.2,0.05","4,10,3,1"
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,4,5,"0.8,0.05","10,1"
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,4,7,"0.8,0.05,0,0.6","10,1,0,7"
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,5,5,"0.2,0.75","3,9"
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,5,7,"0.2,0.75,0.6,0.85","3,9,7,11"
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0,5,"0.3,0","4,0"
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0,7,"0.3,0,1,0.6","4,0,14,7"
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,1,5,"0.6,0","7,0"
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,1,7,"0.6,0,1,0.7","7,0,14,8"
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,2,5,"0,1","0,14"
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,2,7,"0,1,0.6,0.05","0,14,7,1"
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,3,5,"0.05,0.4","1,5"
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,3,7,"0.05,0.4,0.2,0.95","1,5,3,13"
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,4,5,"0.05,0.2","1,3"
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,4,7,"0.05,0.2,0.8,0.7","1,3,10,8"
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,5,5,"0.05,0.75","1,9"
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,5,7,"0.05,0.75,0.7,0","1,9,8,0"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,0,5,"0.2,0.8","3,10"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,0,7,"0.2,0.8,0.85,0.75","3,10,11,9"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,1,5,"0.8,0.2","10,3"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,1,7,"0.8,0.2,0.3,0","10,3,4,0"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,2,5,"0.8,0.3","10,4"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,2,7,"0.8,0.3,0.95,0.05","10,4,13,1"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,3,5,"0.4,0.85","5,11"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,3,7,"0.4,0.85,0.6,0.05","5,11,7,1"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,4,5,"0.8,0.4","10,5"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,4,7,"0.8,0.4,0.3,0.6","10,5,4,7"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,5,5,"0.85,0.4","11,5"
DiMethylEther,LCGLNKUTAGEVQW-UHFFFAOYSA-N,5,7,"0.85,0.4,0.2,0.6","11,5,3,7"
