molecule_name,molecule_id,split,selection_blocks,evaluation_blocks,selection_dense_integral_kcal_mol,evaluation_dense_integral_kcal_mol,absolute_dense_difference_kcal_mol
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,0,"0,1","2,3",-2.8405761685324817,-1.2991119866872298,1.541464181845252
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,1,"0,2","1,3",-2.5024807512394274,-1.6507312206720033,0.8517495305674241
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,2,"0,3","1,2",-2.0319836864623224,-2.1358918418256616,0.1039081553633392
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,3,"1,2","0,3",-2.1358918418256616,-2.0319836864623224,0.1039081553633392
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,4,"1,3","0,2",-1.6507312206720033,-2.5024807512394274,0.8517495305674241
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,5,"2,3","0,1",-1.2991119866872298,-2.8405761685324817,1.541464181845252
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,0,"0,1","2,3",-1.2133453920651627,2.491103517740217,3.7044489098053797
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,1,"0,2","1,3",0.376523971213486,0.8376393799304226,0.46111540871693657
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,2,"0,3","1,2",-0.5700193647014321,1.7300419948979648,2.300061359599397
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,3,"1,2","0,3",1.7300419948979648,-0.5700193647014321,2.300061359599397
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,4,"1,3","0,2",0.8376393799304226,0.376523971213486,0.46111540871693657
Octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,5,"2,3","0,1",2.491103517740217,-1.2133453920651627,3.7044489098053797
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,0,"0,1","2,3",-8.302484813984522,-4.263932844644366,4.038551969340157
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,1,"0,2","1,3",-8.128060221292927,-4.445334421043618,3.682725800249309
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,2,"0,3","1,2",-6.992282946386007,-5.679071254617561,1.313211691768446
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,3,"1,2","0,3",-5.679071254617561,-6.992282946386007,1.313211691768446
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,4,"1,3","0,2",-4.445334421043618,-8.128060221292927,3.682725800249309
Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,5,"2,3","0,1",-4.263932844644366,-8.302484813984522,4.038551969340157
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,0,"0,1","2,3",-9.22921164783133,-8.111712409609366,1.1174992382219635
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,1,"0,2","1,3",-9.143642816058799,-8.200703994652805,0.9429388214059937
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,2,"0,3","1,2",-8.355394144562963,-8.99490228729903,0.6395081427360676
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,3,"1,2","0,3",-8.99490228729903,-8.355394144562963,0.6395081427360676
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,4,"1,3","0,2",-8.200703994652805,-9.143642816058799,0.9429388214059937
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,5,"2,3","0,1",-8.111712409609366,-9.22921164783133,1.1174992382219635
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0,"0,1","2,3",-13.935954171741008,-12.6367379390511,1.2992162326899077
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,1,"0,2","1,3",-14.380652560499835,-12.174251614741921,2.2064009457579132
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,2,"0,3","1,2",-14.821235092568688,-11.835476139512554,2.985758953056134
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,3,"1,2","0,3",-11.835476139512554,-14.821235092568688,2.985758953056134
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,4,"1,3","0,2",-12.174251614741921,-14.380652560499835,2.2064009457579132
Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,5,"2,3","0,1",-12.6367379390511,-13.935954171741008,1.2992162326899077
