role,molecule_name,lambda,frames,mean_dhdl_kcal_mol_recomputed,five_block_sem_kcal_mol_recomputed,energy_sha256,component_sum_max_abs_difference,ti_point,existing_observation
calibration,Acetone,0.0,51,58.71006605333334,2.970378026615686,01c3a1063fd472166d30232b5ddfe71982ed065918f78271a1970f97856c78e8,1.7499957039035507e-09,0,False
calibration,Acetone,0.05,51,47.24481697711766,3.934807900463037,d0d9ab7a47ffb73429159d8fb3451956279e5aa53324b0ef46c4561ac58bbc5c,1.5699939126534446e-09,1,False
calibration,Acetone,0.1,51,34.39174503043137,1.231053992634007,0681e4393be4c55ffdfe034790bb9d23a31be5d7e2563fa5594300773d940116,1.1199858818145003e-09,2,True
calibration,Acetone,0.2,51,21.402644498572545,1.162069899408557,1ae04a734f48c16e397a46c4f04573f3a55e45039c1380d1775d844aff5c8def,1.2399965498843812e-09,3,False
calibration,Acetone,0.3,51,10.997944920958824,1.1450423606949314,c14fdf2b9cc0975f0986bb8c565c94d7ca81d5020044515fcf6870095840ccc2,1.1399983179671835e-09,4,False
calibration,Acetone,0.4,51,8.269187992141177,0.2630398900662765,786e72428c8962ea141aba8260aba9db046e81513da02a92f63bb27800e1b4e8,1.0899992020085847e-09,5,False
calibration,Acetone,0.5,51,-2.95581538685449,2.728134374991788,b79484152c0ee353f5a5c77ee5ba12db7c826b0b3ad000e9b13c5e2d88d61017,1.4199912357071298e-09,6,True
calibration,Acetone,0.6,51,0.29863078682098027,2.0217562437021432,76a6bac55655e67993c8c5be625862bba0ee36b871da0c2ac47fdc2692549b53,9.000018508231733e-10,7,False
calibration,Acetone,0.7,51,-0.4797027409591374,0.41289631721199105,683e9007eed31bee1ea18702bb9127cd0f37aedee048e36adc25242f5f7b2d65,8.300009568529276e-10,8,False
calibration,Acetone,0.75,51,-5.9543450959641175,2.480775511786877,36ab5a6b7d75bd9ae9ad073f66e28fdb08cf000f5e961dab91891226a8ae3ad7,1.2700009932586909e-09,9,False
calibration,Acetone,0.8,51,-16.74316784620196,3.150510459517457,29017d55a178e09f466bc329556a54d41e7df897e017a2a819353bed019e2edb,1.249999215247044e-09,10,False
calibration,Acetone,0.85,51,-8.446663204427647,2.2299345589311668,f55002e192cc47799e6c1b1a6a89bc7f673da646105f40fcadc2ed934871cc6d,1.1400018706808623e-09,11,False
calibration,Acetone,0.9,51,-15.475207219635294,0.6693798190742339,146674e49ada475232ff3bdd57f80c0d7dff212043b7152016fac170e2a1b860,1.3490009109773382e-09,12,True
calibration,Acetone,0.95,51,-6.590317632763333,1.2371197003147478,9b0cc7637b133f64a37e26ac3cad9c268ce055ae1346035386e005b2a9defef0,7.15996151257059e-10,13,False
calibration,Acetone,1.0,51,0.0,0.0,4f992e3a614dad1968e6c1bbb07b6363b669f3eb19cb96964f12eca229e7e61f,0.0,14,False
calibration,Ethanol,0.0,51,58.07517734843137,2.1210988924609455,81fd1b1c9db0b46747a9083a94189747a70f95f64c14a7d65e9234ed5c2a0f7f,1.3999965631228406e-09,0,False
calibration,Ethanol,0.05,51,39.33032266052941,2.072640382151269,a25e267181be3dca546ed551e407e35f7b8a40349a35ed7b0ac328708c2cc518,1.2099974355805898e-09,1,False
