molecule_name,method,total_windows,half_width_90_kcal_mol
Cyclohexane,fixed_solvai_bq,3,3.70323172243337
Cyclohexane,fixed_solvai_bq,4,3.6891397534769337
Cyclohexane,fixed_solvai_bq,5,3.6587295617095568
Cyclohexane,fixed_solvai_bq,6,3.0054598629148406
Cyclohexane,fixed_solvai_bq,7,2.5508180046131437
Cyclohexane,fixed_solvai_bq,8,2.550180032848098
Cyclohexane,fixed_solvai_bq,9,2.5285919322707673
Cyclohexane,fixed_solvai_bq,10,2.442137442919821
Cyclohexane,fixed_solvai_bq,11,2.375893346124376
Cyclohexane,fixed_solvai_bq,12,2.2320175458293616
Cyclohexane,fixed_solvai_bq,13,2.0104846607959046
Cyclohexane,fixed_solvai_bq,14,1.8613056059008763
Cyclohexane,fixed_solvai_bq,15,1.8187028126902474
Cyclohexane,uniform_solvai_bq,3,3.70323172243337
Cyclohexane,uniform_solvai_bq,4,3.0640125132727554
Cyclohexane,uniform_solvai_bq,5,2.622441887618875
Cyclohexane,uniform_solvai_bq,6,2.597160213467735
Cyclohexane,uniform_solvai_bq,7,2.5142431191876176
Cyclohexane,uniform_solvai_bq,8,2.450456746588403
Cyclohexane,uniform_solvai_bq,9,2.3106016812063874
Cyclohexane,uniform_solvai_bq,10,2.1197056960166405
Cyclohexane,uniform_solvai_bq,11,2.044838145021598
Cyclohexane,uniform_solvai_bq,12,1.9015204362178793
Cyclohexane,uniform_solvai_bq,13,1.898418523440104
Cyclohexane,uniform_solvai_bq,14,1.8508781811720934
Cyclohexane,uniform_solvai_bq,15,1.8187028126902476
Cyclohexane,curvature_solvai_bq,3,3.70323172243337
Cyclohexane,curvature_solvai_bq,4,3.348254525860996
Cyclohexane,curvature_solvai_bq,5,2.622441887618875
Cyclohexane,curvature_solvai_bq,6,2.4643348506980924
Cyclohexane,curvature_solvai_bq,7,2.338032450637227
Cyclohexane,curvature_solvai_bq,8,2.267516243548036
Cyclohexane,curvature_solvai_bq,9,2.1749228836035197
Cyclohexane,curvature_solvai_bq,10,2.1197056960166405
Cyclohexane,curvature_solvai_bq,11,1.984245526870685
Cyclohexane,curvature_solvai_bq,12,1.9015204362178788
Cyclohexane,curvature_solvai_bq,13,1.8540598580256442
Cyclohexane,curvature_solvai_bq,14,1.850878181172093
Cyclohexane,curvature_solvai_bq,15,1.8187028126902474
Cyclohexane,generic_bq,3,3.9106504068589847
Cyclohexane,generic_bq,4,3.2192593268673146
Cyclohexane,generic_bq,5,2.1138852360879445
Cyclohexane,generic_bq,6,1.9291942756243343
Cyclohexane,generic_bq,7,1.77477885152785
Cyclohexane,generic_bq,8,1.630268807241772
Cyclohexane,generic_bq,9,1.4557968687719762
Cyclohexane,generic_bq,10,1.3425026633583277
Cyclohexane,generic_bq,11,1.210180579983157
Cyclohexane,generic_bq,12,1.1678511159335572
Cyclohexane,generic_bq,13,1.062424281619692
Cyclohexane,generic_bq,14,1.0439767301062326
Cyclohexane,generic_bq,15,1.0330514114489182
Cyclohexane,active_solvai_bq,3,3.70323172243337
Cyclohexane,active_solvai_bq,4,3.348254525860996
Cyclohexane,active_solvai_bq,5,2.622441887618875
Cyclohexane,active_solvai_bq,6,2.5347577393624827
Cyclohexane,active_solvai_bq,7,2.4919212617773545
Cyclohexane,active_solvai_bq,8,2.4060791495468465
Cyclohexane,active_solvai_bq,9,2.260295448247897
Cyclohexane,active_solvai_bq,10,2.1815130158800153
Cyclohexane,active_solvai_bq,11,2.137938351639233
Cyclohexane,active_solvai_bq,12,1.9771122660796414
Cyclohexane,active_solvai_bq,13,1.8396770531289153
Cyclohexane,active_solvai_bq,14,1.8231024866472365
Cyclohexane,active_solvai_bq,15,1.8187028126902474
Cyclohexane,oracle_non_deployable,3,3.70323172243337
Cyclohexane,oracle_non_deployable,4,3.4293564776330125
Cyclohexane,oracle_non_deployable,5,3.38124489832328
Cyclohexane,oracle_non_deployable,6,3.156076661347181
Cyclohexane,oracle_non_deployable,7,3.1494431474929345
Cyclohexane,oracle_non_deployable,8,2.7110915961959856
Cyclohexane,oracle_non_deployable,9,2.4872337154171835
