n_molecules,production_ps_per_replica,replicas,lambda_windows,target_mean_effect_kcal_mol,power_budget_5,power_budget_7,conservative_power_budget_5,conservative_power_budget_7,dense_reliability_probability,adequately_powered,production_total_ps,projected_production_gpu_hours,operational_reservation_gpu_hours
8,50,2,15,-0.3,0.0,1e-05,3e-05,0.00087,0.44602,False,12000,32.441024920113975,36.00953766132652
8,75,2,15,-0.3,0.0,0.0,0.0,7e-05,0.66706,False,18000,48.66153738017097,54.01430649198978
8,100,2,15,-0.3,0.0,0.0,0.0,0.0,0.803,False,24000,64.88204984022795,72.01907532265304
8,150,2,15,-0.3,0.0,0.0,0.0,0.0,0.92873,False,36000,97.32307476034194,108.02861298397956
8,200,2,15,-0.3,0.0,0.0,0.0,0.0,0.97344,False,48000,129.7640996804559,144.03815064530608
12,50,2,15,-0.3,0.07613,0.24182,0.08482,0.24093,0.4635,False,18000,48.66153738017097,54.01430649198978
12,75,2,15,-0.3,0.07098,0.24443,0.0788,0.24455,0.70163,False,27000,72.99230607025645,81.02145973798466
12,100,2,15,-0.3,0.07053,0.24433,0.07399,0.24276,0.8292,False,36000,97.32307476034194,108.02861298397956
12,150,2,15,-0.3,0.07073,0.24162,0.0733,0.24407,0.94222,False,54000,145.9846121405129,162.0429194759693
12,200,2,15,-0.3,0.07142,0.24354,0.0723,0.24432,0.97842,False,72000,194.64614952068388,216.0572259679591
16,50,2,15,-0.3,0.04133,0.2147,0.04925,0.21105,0.47112,False,24000,64.88204984022795,72.01907532265304
16,75,2,15,-0.3,0.0402,0.21437,0.04399,0.21589,0.72633,False,36000,97.32307476034194,108.02861298397956
16,100,2,15,-0.3,0.03845,0.21435,0.04182,0.21496,0.86372,False,48000,129.7640996804559,144.03815064530608
16,150,2,15,-0.3,0.0378,0.21258,0.03933,0.21359,0.96344,False,72000,194.64614952068388,216.0572259679591
16,200,2,15,-0.3,0.03803,0.21293,0.03808,0.21628,0.98894,False,96000,259.5281993609118,288.07630129061215
24,50,2,15,-0.3,0.01319,0.151,0.01582,0.14907,0.4785,False,36000,97.32307476034194,108.02861298397956
24,75,2,15,-0.3,0.01163,0.15091,0.01434,0.15034,0.77342,False,54000,145.9846121405129,162.0429194759693
24,100,2,15,-0.3,0.01182,0.15077,0.01262,0.15129,0.90924,False,72000,194.64614952068388,216.0572259679591
24,150,2,15,-0.3,0.01102,0.14849,0.01219,0.14908,0.98539,False,108000,291.9692242810258,324.0858389519386
24,200,2,15,-0.3,0.01156,0.14413,0.01166,0.14838,0.99751,False,144000,389.29229904136776,432.1144519359182
32,50,2,15,-0.3,0.00393,0.10431,0.00582,0.1014,0.48033,False,48000,129.7640996804559,144.03815064530608
32,75,2,15,-0.3,0.00405,0.10317,0.00433,0.10591,0.80724,False,72000,194.64614952068388,216.0572259679591
32,100,2,15,-0.3,0.00358,0.10137,0.00412,0.10442,0.93675,False,96000,259.5281993609118,288.07630129061215
32,150,2,15,-0.3,0.00359,0.10105,0.00359,0.10344,0.99387,False,144000,389.29229904136776,432.1144519359182
32,200,2,15,-0.3,0.00356,0.10066,0.00357,0.10179,0.99934,False,192000,519.0563987218236,576.1526025812243
48,50,2,15,-0.3,0.00063,0.0525,0.00063,0.04998,0.47912,False,72000,194.64614952068388,216.0572259679591
48,75,2,15,-0.3,0.00049,0.05275,0.0006,0.05163,0.85594,False,108000,291.9692242810258,324.0858389519386
48,100,2,15,-0.3,0.00037,0.05095,0.00038,0.05181,0.97002,False,144000,389.29229904136776,432.1144519359182
48,150,2,15,-0.3,0.00031,0.05123,0.00053,0.05139,0.99873,False,216000,583.9384485620516,648.1716779038773
48,200,2,15,-0.3,0.00044,0.04942,0.00033,0.0511,0.99996,False,288000,778.5845980827355,864.2289038718365
64,50,2,15,-0.3,4e-05,0.02629,0.00011,0.02702,0.4806,False,96000,259.5281993609118,288.07630129061215
64,75,2,15,-0.3,9e-05,0.02633,4e-05,0.02696,0.89067,False,144000,389.29229904136776,432.1144519359182
64,100,2,15,-0.3,2e-05,0.02684,4e-05,0.02708,0.98467,False,192000,519.0563987218236,576.1526025812243
64,150,2,15,-0.3,3e-05,0.0256,5e-05,0.02666,0.99979,False,288000,778.5845980827355,864.2289038718365
64,200,2,15,-0.3,4e-05,0.02412,4e-05,0.02687,1.0,False,384000,1038.1127974436472,1152.3052051624486
96,50,2,15,-0.3,0.0,0.00737,0.0,0.00716,0.47677,False,144000,389.29229904136776,432.1144519359182
96,75,2,15,-0.3,0.0,0.0073,0.0,0.00811,0.93288,False,216000,583.9384485620516,648.1716779038773
96,100,2,15,-0.3,0.0,0.00734,0.0,0.00805,0.99545,False,288000,778.5845980827355,864.2289038718365
96,150,2,15,-0.3,1e-05,0.00736,0.0,0.00784,1.0,False,432000,1167.8768971241032,1296.3433558077545
96,200,2,15,-0.3,0.0,0.00675,0.0,0.00738,1.0,False,576000,1557.169196165471,1728.457807743673
