campaign,role,molecule_name,molecule_id,canonical_smiles,functional_group_family,lambda,ti_point,existing_observation,case_directory,config,config_sha256,energy_file,production_ps,beads
AS-P2-DENSE-PIMD2-001,calibration,Acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,Ketones,0.0,0,False,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p00,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p00/conf.xml,b76aef9b60ae497d8b4d39264280a9807fc72a98f3cbc2ad7a10e140280e6ec2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p00/output/PENDING_SYSTEM.ene,5.0,2
AS-P2-DENSE-PIMD2-001,calibration,Acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,Ketones,0.05,1,False,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p05,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p05/conf.xml,b579d3e383e2d69a54ddd288ee9b8f8de24ff9811bb5038d21957f45951a1223,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p05/output/PENDING_SYSTEM.ene,5.0,2
AS-P2-DENSE-PIMD2-001,calibration,Acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,Ketones,0.1,2,True,/home/galoren/Freecurve_AI_Solvation/results/physics_probes/pimd2_lambda01_5ps/acetone,/home/galoren/Freecurve_AI_Solvation/results/physics_probes/pimd2_lambda01_5ps/acetone/conf.xml,b235e3cdca997d132179b42b586e7971d581ee49a6675a578b5604922d53cfd8,/home/galoren/Freecurve_AI_Solvation/results/physics_probes/pimd2_lambda01_5ps/acetone/output/Task5_MD_Transition_LIGAnnihilation_2__SYSTEM.ene,5.0,2
AS-P2-DENSE-PIMD2-001,calibration,Acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,Ketones,0.2,3,False,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p20,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p20/conf.xml,76234b2fddc4afb3cea1acb9150fce14c7e7a9b997e687329340f99f210e73b3,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p20/output/PENDING_SYSTEM.ene,5.0,2
AS-P2-DENSE-PIMD2-001,calibration,Acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,Ketones,0.3,4,False,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p30,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p30/conf.xml,612a8113f5762a319663b9f06c73b5c40bd06973d0242a6b5b9fae7855ed1f34,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p30/output/PENDING_SYSTEM.ene,5.0,2
AS-P2-DENSE-PIMD2-001,calibration,Acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,Ketones,0.4,5,False,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p40,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p40/conf.xml,ced4d3a81655ecf18d0893b6c5e06400ce64c9dfeedeb91df748d7007c214414,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p40/output/PENDING_SYSTEM.ene,5.0,2
AS-P2-DENSE-PIMD2-001,calibration,Acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,Ketones,0.5,6,True,/home/galoren/Freecurve_AI_Solvation/results/physics_probes/pimd2_lambda05_5ps/acetone,/home/galoren/Freecurve_AI_Solvation/results/physics_probes/pimd2_lambda05_5ps/acetone/conf.xml,60634d2163b1315ab899e26793d64cd49a6ec1e0404309036e7081c87165817c,/home/galoren/Freecurve_AI_Solvation/results/physics_probes/pimd2_lambda05_5ps/acetone/output/Task5_MD_Transition_LIGAnnihilation_6__SYSTEM.ene,5.0,2
AS-P2-DENSE-PIMD2-001,calibration,Acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,Ketones,0.6,7,False,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p60,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p60/conf.xml,51b6e328404bc3d736838f01e858fcf7cf8f78bbbc8cefbe35016c449ed268bb,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p60/output/PENDING_SYSTEM.ene,5.0,2
AS-P2-DENSE-PIMD2-001,calibration,Acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,Ketones,0.7,8,False,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p70,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p70/conf.xml,2abe2a3cff22a709c83ededcb29e510dd0a7d949a2fe232a5768c267dcf13bb9,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p70/output/PENDING_SYSTEM.ene,5.0,2
AS-P2-DENSE-PIMD2-001,calibration,Acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,Ketones,0.75,9,False,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p75,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p75/conf.xml,e534cb4257b963bfd162d4d0a5162dbfe2c872beaebaa0dba48e68323d9781fb,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p75/output/PENDING_SYSTEM.ene,5.0,2
