run_id,timestamp_utc,campaign,stage,role,molecule_name,molecule_id,lambda,ti_point,case_directory,config_sha256,command,attempt,status,passed,exit_status,timed_out,quality_control,wall_seconds,gpu_hours,cpu_hours,production_ps,simulated_time_ps,beads,bead_windows,nominal_bead_steps,force_evaluations,force_evaluation_note,freeze_commit
AS-P2-PROSPECTIVE-acetamide-L00-A01,2026-09-03T03:28:24.702472+00:00,AS-P2-DENSE-PIMD2-001,phase2_dense_prospective,prospective,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.0,0,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p00,267b89f32f8ded1ea2a34559ebd8d7358310d96168e5d8e229279c5835aace35,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']",1,completed,True,0,False,"{'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p00/output/Task5_MD_Transition_LIGAnnihilation_0__SYSTEM.ene', 'frames': 51, 'finite_response': True, 'mean_temperature_kelvin': 300.52266115196073, 'mean_density_g_cm3': 1.0158364530294117, 'energy_sha256': '6b9774a93f130cabdb624ab2ffa1d869403a5aeb61f50f756e3a28edb6212c89', 'passed': True}",50.26675186888315,0.01396298663024532,0.11170389304196256,5.0,5.0,2,2,6250,,Arbalest does not expose exact fast/slow kernel call counts; nominal bead-steps are reported instead.,512aad3d46c25c28d590e76ebbd6cd2dc9be7186
AS-P2-PROSPECTIVE-acetamide-L01-A01,2026-09-03T03:29:16.254549+00:00,AS-P2-DENSE-PIMD2-001,phase2_dense_prospective,prospective,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.05,1,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p05,1caa8622e35a539762bd3df43421f5d38124ecf4062428767b754d04c15f2715,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']",1,completed,True,0,False,"{'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p05/output/Task5_MD_Transition_LIGAnnihilation_1__SYSTEM.ene', 'frames': 51, 'finite_response': True, 'mean_temperature_kelvin': 298.9395605388235, 'mean_density_g_cm3': 1.0334552498941176, 'energy_sha256': '1d536433458cf4ba015a5ea84d2c28ed7fe2b81f1d4b92f9ad2fc827b67d97f4', 'passed': True}",51.54077941086143,0.014316883169683731,0.11453506535746985,5.0,5.0,2,2,6250,,Arbalest does not expose exact fast/slow kernel call counts; nominal bead-steps are reported instead.,512aad3d46c25c28d590e76ebbd6cd2dc9be7186
AS-P2-PROSPECTIVE-acetamide-L03-A01,2026-09-03T03:30:00.556138+00:00,AS-P2-DENSE-PIMD2-001,phase2_dense_prospective,prospective,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.2,3,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p20,f52a4a628e53342225ec84298ba8591976f931a2719a3a595f55e3900b46b51a,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']",1,completed,True,0,False,"{'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p20/output/Task5_MD_Transition_LIGAnnihilation_3__SYSTEM.ene', 'frames': 51, 'finite_response': True, 'mean_temperature_kelvin': 301.0402759131373, 'mean_density_g_cm3': 1.0141193873809804, 'energy_sha256': 'd8cf3c2440e8bc152005f472ca9495a3b53c2c767dc072e720826d388b1f933f', 'passed': True}",44.28826126107015,0.012302294794741708,0.09841835835793367,5.0,5.0,2,2,6250,,Arbalest does not expose exact fast/slow kernel call counts; nominal bead-steps are reported instead.,512aad3d46c25c28d590e76ebbd6cd2dc9be7186
AS-P2-PROSPECTIVE-acetamide-L04-A01,2026-09-03T03:30:45.424922+00:00,AS-P2-DENSE-PIMD2-001,phase2_dense_prospective,prospective,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.3,4,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p30,88ef9c6659fa889ad99081534456be24604391321fb0b6e32c009482b48386e3,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']",1,completed,True,0,False,"{'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p30/output/Task5_MD_Transition_LIGAnnihilation_4__SYSTEM.ene', 'frames': 51, 'finite_response': True, 'mean_temperature_kelvin': 300.0450924162745, 'mean_density_g_cm3': 1.0165750981590196, 'energy_sha256': 'c0bbbdaafb0ffd3b4ae3b99e2c424803be60c1597a6900f05207af43fedfe52c', 'passed': True}",44.846316586015746,0.012457310162782152,0.09965848130225721,5.0,5.0,2,2,6250,,Arbalest does not expose exact fast/slow kernel call counts; nominal bead-steps are reported instead.,512aad3d46c25c28d590e76ebbd6cd2dc9be7186
AS-P2-PROSPECTIVE-acetamide-L05-A01,2026-09-03T03:31:41.275676+00:00,AS-P2-DENSE-PIMD2-001,phase2_dense_prospective,prospective,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.4,5,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p40,acf5710df455749a1900a74f71dfa464fdac81f9fe6639c97d7342e9567d0ab3,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']",1,completed,True,0,False,"{'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p40/output/Task5_MD_Transition_LIGAnnihilation_5__SYSTEM.ene', 'frames': 51, 'finite_response': True, 'mean_temperature_kelvin': 299.0672312229412, 'mean_density_g_cm3': 1.0243317716068627, 'energy_sha256': '7c27f21d8275ea8b66daec6fa104a4f3aa1c96cfb379aff87225d06c3ae2131a', 'passed': True}",55.82669015112333,0.015507413930867592,0.12405931144694074,5.0,5.0,2,2,6250,,Arbalest does not expose exact fast/slow kernel call counts; nominal bead-steps are reported instead.,512aad3d46c25c28d590e76ebbd6cd2dc9be7186
AS-P2-PROSPECTIVE-acetamide-L07-A01,2026-09-03T03:32:26.834556+00:00,AS-P2-DENSE-PIMD2-001,phase2_dense_prospective,prospective,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.6,7,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p60,2e05da231d5ec38fd023a7e10ca78c95b21a66897b48894cf72296650f5bb34d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']",1,completed,True,0,False,"{'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p60/output/Task5_MD_Transition_LIGAnnihilation_7__SYSTEM.ene', 'frames': 51, 'finite_response': True, 'mean_temperature_kelvin': 300.32141703588235, 'mean_density_g_cm3': 1.0110413353096077, 'energy_sha256': 'e14823afcab109ab91dca04c7a04908f522debf24fa0145eacdecb1b21852349', 'passed': True}",45.53820016188547,0.012649500044968186,0.10119600035974549,5.0,5.0,2,2,6250,,Arbalest does not expose exact fast/slow kernel call counts; nominal bead-steps are reported instead.,512aad3d46c25c28d590e76ebbd6cd2dc9be7186
AS-P2-PROSPECTIVE-acetamide-L08-A01,2026-09-03T03:33:12.617705+00:00,AS-P2-DENSE-PIMD2-001,phase2_dense_prospective,prospective,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.7,8,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p70,42dc519c21f709481d72a517edef6bfebdaf0f92011a2d6ef48517fe77205554,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']",1,completed,True,0,False,"{'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p70/output/Task5_MD_Transition_LIGAnnihilation_8__SYSTEM.ene', 'frames': 51, 'finite_response': True, 'mean_temperature_kelvin': 299.5437312135294, 'mean_density_g_cm3': 1.0290531948311763, 'energy_sha256': 'f89953072decbfe2d9d7870c3b410b6bcc33f1f018e03154b6241e00023c989a', 'passed': True}",45.75636593205854,0.01271010164779404,0.10168081318235232,5.0,5.0,2,2,6250,,Arbalest does not expose exact fast/slow kernel call counts; nominal bead-steps are reported instead.,512aad3d46c25c28d590e76ebbd6cd2dc9be7186
AS-P2-PROSPECTIVE-acetamide-L09-A01,2026-09-03T03:33:58.192599+00:00,AS-P2-DENSE-PIMD2-001,phase2_dense_prospective,prospective,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.75,9,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p75,4b2032964d7e809bba207d254d5d82332bb2871eb846c1b848f5e338e968fcc0,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']",1,completed,True,0,False,"{'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p75/output/Task5_MD_Transition_LIGAnnihilation_9__SYSTEM.ene', 'frames': 51, 'finite_response': True, 'mean_temperature_kelvin': 299.6978971227451, 'mean_density_g_cm3': 1.0237717881658823, 'energy_sha256': '1f3a73c9d84a792bc37e29c6bc8b108d77780fe305da5aca7f7315cc3d1e81bf', 'passed': True}",45.55795100214891,0.012654986389485808,0.10123989111588647,5.0,5.0,2,2,6250,,Arbalest does not expose exact fast/slow kernel call counts; nominal bead-steps are reported instead.,512aad3d46c25c28d590e76ebbd6cd2dc9be7186
AS-P2-PROSPECTIVE-acetamide-L10-A01,2026-09-03T03:34:43.791537+00:00,AS-P2-DENSE-PIMD2-001,phase2_dense_prospective,prospective,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.8,10,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p80,4e9742ebc941c1230b459455d9d2cb962796b29bb7ad0f4a8eee153cbf852d3d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']",1,completed,True,0,False,"{'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p80/output/Task5_MD_Transition_LIGAnnihilation_10__SYSTEM.ene', 'frames': 51, 'finite_response': True, 'mean_temperature_kelvin': 300.03590743294114, 'mean_density_g_cm3': 1.026359032189804, 'energy_sha256': 'b09620f3d6361023b6f7a3e9e486044df3b12ae70c89d4621b3d3fd912e26d01', 'passed': True}",45.58809014619328,0.012663358373942578,0.10130686699154062,5.0,5.0,2,2,6250,,Arbalest does not expose exact fast/slow kernel call counts; nominal bead-steps are reported instead.,512aad3d46c25c28d590e76ebbd6cd2dc9be7186
AS-P2-PROSPECTIVE-acetamide-L11-A01,2026-09-03T03:35:40.161983+00:00,AS-P2-DENSE-PIMD2-001,phase2_dense_prospective,prospective,Acetamide,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.85,11,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p85,cca9844765cfd5f1b2cebd82bbb33de5a97fd77485cf6891aa99aec4b5218d7c,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']",1,completed,True,0,False,"{'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/prospective/acetamide/lambda_0p85/output/Task5_MD_Transition_LIGAnnihilation_11__SYSTEM.ene', 'frames': 51, 'finite_response': True, 'mean_temperature_kelvin': 299.58541278, 'mean_density_g_cm3': 1.0180051303709805, 'energy_sha256': 'fd1379dcc840b8dbaa29fa7975015afc335d2131f9384a3a8c2eb5db44429893', 'passed': True}",56.35965692391619,0.015655460256643387,0.1252436820531471,5.0,5.0,2,2,6250,,Arbalest does not expose exact fast/slow kernel call counts; nominal bead-steps are reported instead.,512aad3d46c25c28d590e76ebbd6cd2dc9be7186
