source_class,path,energy_sha256,config,config_sha256,beads,ti_point,lambda,time_step_ps,random_seed_fields,frames,observed_time_ps,has_dhdl,finite_dhdl,stream_id,independence_status,development_exposed,eligible_v3_development,eligible_v3_prospective_sentinel
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p00/output/Task5_MD_Transition_LIGAnnihilation_0__SYSTEM.ene,01c3a1063fd472166d30232b5ddfe71982ed065918f78271a1970f97856c78e8,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p00/conf.xml,b76aef9b60ae497d8b4d39264280a9807fc72a98f3cbc2ad7a10e140280e6ec2,2.0,0.0,0.0,0.002,13253450,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p05/output/Task5_MD_Transition_LIGAnnihilation_1__SYSTEM.ene,d0d9ab7a47ffb73429159d8fb3451956279e5aa53324b0ef46c4561ac58bbc5c,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p05/conf.xml,b579d3e383e2d69a54ddd288ee9b8f8de24ff9811bb5038d21957f45951a1223,2.0,1.0,0.05,0.002,13253450,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p20/output/Task5_MD_Transition_LIGAnnihilation_3__SYSTEM.ene,1ae04a734f48c16e397a46c4f04573f3a55e45039c1380d1775d844aff5c8def,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p20/conf.xml,76234b2fddc4afb3cea1acb9150fce14c7e7a9b997e687329340f99f210e73b3,2.0,3.0,0.2,0.002,13253450,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p30/output/Task5_MD_Transition_LIGAnnihilation_4__SYSTEM.ene,c14fdf2b9cc0975f0986bb8c565c94d7ca81d5020044515fcf6870095840ccc2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p30/conf.xml,612a8113f5762a319663b9f06c73b5c40bd06973d0242a6b5b9fae7855ed1f34,2.0,4.0,0.3,0.002,13253450,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p40/output/Task5_MD_Transition_LIGAnnihilation_5__SYSTEM.ene,786e72428c8962ea141aba8260aba9db046e81513da02a92f63bb27800e1b4e8,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p40/conf.xml,ced4d3a81655ecf18d0893b6c5e06400ce64c9dfeedeb91df748d7007c214414,2.0,5.0,0.4,0.002,13253450,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p60/output/Task5_MD_Transition_LIGAnnihilation_7__SYSTEM.ene,76a6bac55655e67993c8c5be625862bba0ee36b871da0c2ac47fdc2692549b53,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p60/conf.xml,51b6e328404bc3d736838f01e858fcf7cf8f78bbbc8cefbe35016c449ed268bb,2.0,7.0,0.6,0.002,13253450,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p70/output/Task5_MD_Transition_LIGAnnihilation_8__SYSTEM.ene,683e9007eed31bee1ea18702bb9127cd0f37aedee048e36adc25242f5f7b2d65,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p70/conf.xml,2abe2a3cff22a709c83ededcb29e510dd0a7d949a2fe232a5768c267dcf13bb9,2.0,8.0,0.7,0.002,13253450,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p75/output/Task5_MD_Transition_LIGAnnihilation_9__SYSTEM.ene,36ab5a6b7d75bd9ae9ad073f66e28fdb08cf000f5e961dab91891226a8ae3ad7,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p75/conf.xml,e534cb4257b963bfd162d4d0a5162dbfe2c872beaebaa0dba48e68323d9781fb,2.0,9.0,0.75,0.002,13253450,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p80/output/Task5_MD_Transition_LIGAnnihilation_10__SYSTEM.ene,29017d55a178e09f466bc329556a54d41e7df897e017a2a819353bed019e2edb,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p80/conf.xml,a81171a2a0d358272c4810d0c504b3f4ea01cc0171e874d7f66d4550059c91e5,2.0,10.0,0.8,0.002,13253450,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
active_v1_dense_pimd2,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p85/output/Task5_MD_Transition_LIGAnnihilation_11__SYSTEM.ene,f55002e192cc47799e6c1b1a6a89bc7f673da646105f40fcadc2ed934871cc6d,/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p85/conf.xml,838a51b40c2975f422f43294578057f7b9873f5eec22393672656baed2faf4b5,2.0,11.0,0.85,0.002,13253450,51,5.0000003123,True,True,single_inherited_stream,one trajectory; contiguous blocks are not replicas,True,True,False
