prefix_ps,stabilizer,model,mae,rmse,mean_within_molecule_spearman,top_quartile_auroc
0.5,0.1,generic_observed,1.5241372437991705,1.9954283275726192,0.20624999999999996,0.5778093434343435
0.5,0.1,lambda_protocol,1.712794859666909,2.1505038316976095,0.2220238095238095,0.5689709595959596
0.5,0.1,solvai_cold_start,1.8738269961781562,2.3057273211385088,0.14464285714285713,0.579229797979798
0.5,0.1,solvai_conditioned,1.5654946107241194,2.001522596558706,0.19107142857142853,0.5789141414141414
0.5,0.1,solvai_conditioned_shuffled_88031,1.5534911048685893,1.9680081685222677,0.2684523809523809,0.6107954545454545
0.5,0.1,solvai_conditioned_shuffled_88032,1.5453497698662608,1.9612032064212448,0.288095238095238,0.5981691919191919
0.5,0.1,solvai_conditioned_shuffled_88033,1.5860694907145672,2.0417840279144164,0.19761904761904758,0.5737058080808082
0.5,0.1,solvai_conditioned_shuffled_88034,1.5611852012657266,1.9877222065988884,0.22351190476190474,0.5959595959595959
0.5,0.1,solvai_conditioned_shuffled_88035,1.598769415018718,2.0539924420752724,0.22440476190476186,0.5849116161616161
0.5,0.1,structure_cold_start,1.825167415694594,2.220999329304965,0.19107142857142856,0.5879103535353536
0.5,0.1,structure_conditioned,1.6109325066084226,2.042762495665838,0.1886904761904761,0.5618686868686869
0.5,0.25,generic_observed,1.4378138417890707,1.8171476239893791,0.21994047619047616,0.5776515151515151
0.5,0.25,lambda_protocol,1.5470045220140909,1.8890134844613589,0.25029761904761905,0.585385101010101
0.5,0.25,solvai_cold_start,1.6757491582176909,2.0303314293537955,0.14672619047619045,0.5891729797979799
0.5,0.25,solvai_conditioned,1.4661969173121665,1.824591803889981,0.20803571428571424,0.5789141414141414
0.5,0.25,solvai_conditioned_shuffled_88031,1.4516505899644285,1.793849863822817,0.2645833333333333,0.6096906565656566
0.5,0.25,solvai_conditioned_shuffled_88032,1.4378323835768942,1.780008088389053,0.2928571428571428,0.5975378787878788
0.5,0.25,solvai_conditioned_shuffled_88033,1.4878463786959457,1.8530541656031472,0.19672619047619047,0.577020202020202
0.5,0.25,solvai_conditioned_shuffled_88034,1.4622700953398937,1.8106481380490065,0.23749999999999996,0.5999053030303031
0.5,0.25,solvai_conditioned_shuffled_88035,1.4895295984669221,1.8632735159148224,0.22083333333333333,0.5861742424242424
0.5,0.25,structure_cold_start,1.6475842915799097,1.9696662299161978,0.19791666666666663,0.5885416666666667
0.5,0.25,structure_conditioned,1.4846791532159216,1.8290818729397922,0.20267857142857137,0.579229797979798
0.5,0.5,generic_observed,1.2945934082062804,1.5875454663976416,0.24285714285714285,0.6000631313131313
0.5,0.5,lambda_protocol,1.3591984161282715,1.6467750172131874,0.256845238095238,0.5973800505050505
0.5,0.5,solvai_cold_start,1.4545664400602776,1.7579136015191998,0.19672619047619044,0.599905303030303
0.5,0.5,solvai_conditioned,1.332260821388071,1.6202868066875578,0.2270833333333333,0.5811237373737373
0.5,0.5,solvai_conditioned_shuffled_88031,1.3139591428735893,1.5928681629544779,0.2613095238095238,0.6063762626262627
0.5,0.5,solvai_conditioned_shuffled_88032,1.295969161228477,1.57630190223294,0.28720238095238093,0.5981691919191919
0.5,0.5,solvai_conditioned_shuffled_88033,1.349301394277259,1.6374926774160834,0.2029761904761904,0.578125
0.5,0.5,solvai_conditioned_shuffled_88034,1.3318561261943784,1.609781478470704,0.2443452380952381,0.6000631313131314
0.5,0.5,solvai_conditioned_shuffled_88035,1.3417725783550796,1.637739732214057,0.22142857142857142,0.5920138888888888
0.5,0.5,structure_cold_start,1.4389128607583024,1.7116449899840307,0.23035714285714282,0.5954861111111112
0.5,0.5,structure_conditioned,1.3420854359186067,1.620677405286635,0.2041666666666667,0.5785984848484849
