n_molecules,budget_windows,alternative,true_mean_effect_kcal_mol,detection_probability,mean_ci_width_kcal_mol
12,5,null,0.0,0.04618,1.2272737599548986
12,5,minimum_20pct,-0.34190520682873893,0.2175,1.2272737599548986
12,5,larger_30pct,-0.5128578102431084,0.3769,1.2272737599548986
12,7,null,0.0,0.04624,1.5113353591071674
12,7,minimum_20pct,-0.2228996486695131,0.11418,1.5113353591071674
12,7,larger_30pct,-0.33434947300426965,0.16482,1.5113353591071674
16,5,null,0.0,0.04238,1.033681929805327
16,5,minimum_20pct,-0.34190520682873893,0.26834,1.033681929805327
16,5,larger_30pct,-0.5128578102431084,0.48736,1.033681929805327
16,7,null,0.0,0.04224,1.2734412580409842
16,7,minimum_20pct,-0.2228996486695131,0.12658,1.2734412580409842
16,7,larger_30pct,-0.33434947300426965,0.19676,1.2734412580409842
20,5,null,0.0,0.03848,0.9101935927050349
20,5,minimum_20pct,-0.34190520682873893,0.32618,0.9101935927050349
20,5,larger_30pct,-0.5128578102431084,0.58094,0.9101935927050349
20,7,null,0.0,0.03982,1.1214207770292433
20,7,minimum_20pct,-0.2228996486695131,0.14212,1.1214207770292433
20,7,larger_30pct,-0.33434947300426965,0.23142,1.1214207770292433
24,5,null,0.0,0.03628,0.8222049362064234
24,5,minimum_20pct,-0.34190520682873893,0.38044,0.8222049362064234
24,5,larger_30pct,-0.5128578102431084,0.66792,0.8222049362064234
24,7,null,0.0,0.03812,1.0125115481633788
24,7,minimum_20pct,-0.2228996486695131,0.1554,1.0125115481633788
24,7,larger_30pct,-0.33434947300426965,0.2682,1.0125115481633788
32,5,null,0.0,0.03548,0.7030341810134143
32,5,minimum_20pct,-0.34190520682873893,0.47596,0.7030341810134143
32,5,larger_30pct,-0.5128578102431084,0.79632,0.7030341810134143
32,7,null,0.0,0.03654,0.8659518804010321
32,7,minimum_20pct,-0.2228996486695131,0.18916,0.8659518804010321
32,7,larger_30pct,-0.33434947300426965,0.33944,0.8659518804010321
40,5,null,0.0,0.03464,0.6241325340939078
40,5,minimum_20pct,-0.34190520682873893,0.56584,0.6241325340939078
40,5,larger_30pct,-0.5128578102431084,0.88244,0.6241325340939078
40,7,null,0.0,0.03458,0.7697505302957911
40,7,minimum_20pct,-0.2228996486695131,0.21964,0.7697505302957911
40,7,larger_30pct,-0.33434947300426965,0.40092,0.7697505302957911
48,5,null,0.0,0.03326,0.5669512505608765
48,5,minimum_20pct,-0.34190520682873893,0.64704,0.5669512505608765
48,5,larger_30pct,-0.5128578102431084,0.93278,0.5669512505608765
48,7,null,0.0,0.03308,0.6986724063510902
48,7,minimum_20pct,-0.2228996486695131,0.25638,0.6986724063510902
48,7,larger_30pct,-0.33434947300426965,0.47102,0.6986724063510902
64,5,null,0.0,0.03178,0.4878596883281088
64,5,minimum_20pct,-0.34190520682873893,0.76888,0.4878596883281088
64,5,larger_30pct,-0.5128578102431084,0.97988,0.4878596883281088
64,7,null,0.0,0.0326,0.6013491345246377
64,7,minimum_20pct,-0.2228996486695131,0.31686,0.6013491345246377
64,7,larger_30pct,-0.33434947300426965,0.58364,0.6013491345246377
80,5,null,0.0,0.03084,0.43496859964387935
80,5,minimum_20pct,-0.34190520682873893,0.85558,0.43496859964387935
80,5,larger_30pct,-0.5128578102431084,0.99448,0.43496859964387935
80,7,null,0.0,0.02934,0.5363053330846443
80,7,minimum_20pct,-0.2228996486695131,0.37856,0.5363053330846443
80,7,larger_30pct,-0.33434947300426965,0.67824,0.5363053330846443
96,5,null,0.0,0.0313,0.3960532715022957
96,5,minimum_20pct,-0.34190520682873893,0.91136,0.3960532715022957
96,5,larger_30pct,-0.5128578102431084,0.9986,0.3960532715022957
96,7,null,0.0,0.031,0.48823108656766434
96,7,minimum_20pct,-0.2228996486695131,0.43544,0.48823108656766434
96,7,larger_30pct,-0.33434947300426965,0.75496,0.48823108656766434
128,5,null,0.0,0.03,0.34201313636589264
128,5,minimum_20pct,-0.34190520682873893,0.97034,0.34201313636589264
128,5,larger_30pct,-0.5128578102431084,0.99992,0.34201313636589264
128,7,null,0.0,0.02902,0.42165737271708104
128,7,minimum_20pct,-0.2228996486695131,0.54464,0.42165737271708104
128,7,larger_30pct,-0.33434947300426965,0.86478,0.42165737271708104
160,5,null,0.0,0.0294,0.30535680538689647
160,5,minimum_20pct,-0.34190520682873893,0.99062,0.30535680538689647
160,5,larger_30pct,-0.5128578102431084,1.0,0.30535680538689647
160,7,null,0.0,0.0292,0.3764865604037627
160,7,minimum_20pct,-0.2228996486695131,0.63788,0.3764865604037627
160,7,larger_30pct,-0.33434947300426965,0.9308,0.3764865604037627
192,5,null,0.0,0.02808,0.27844873365586764
192,5,minimum_20pct,-0.34190520682873893,0.99662,0.27844873365586764
192,5,larger_30pct,-0.5128578102431084,1.0,0.2784487336558677
192,7,null,0.0,0.02922,0.3432505265527849
192,7,minimum_20pct,-0.2228996486695131,0.71402,0.3432505265527849
192,7,larger_30pct,-0.33434947300426965,0.96356,0.3432505265527849
256,5,null,0.0,0.02888,0.24078649627811888
256,5,minimum_20pct,-0.34190520682873893,0.99974,0.24078649627811888
256,5,larger_30pct,-0.5128578102431084,1.0,0.24078649627811888
256,7,null,0.0,0.02858,0.2968433173249097
256,7,minimum_20pct,-0.2228996486695131,0.8297,0.2968433173249097
256,7,larger_30pct,-0.33434947300426965,0.9907,0.2968433173249097
