n_molecules,production_ps_per_stream_window,streams,lambda_windows,power_budget5,power_budget7,type1_budget5,type1_budget7,reference_reliability_probability,production_total_ps,projected_production_gpu_hours,operational_reservation_gpu_hours,numerically_adequate
12,20,2,15,0.2175,0.11418,0.04618,0.04624,0.0,7200,19.464614952068388,21.60572259679591,False
12,50,2,15,0.2175,0.11418,0.04618,0.04624,0.0,18000,48.66153738017097,54.01430649198978,False
12,100,2,15,0.2175,0.11418,0.04618,0.04624,0.0,36000,97.32307476034194,108.02861298397956,False
12,200,2,15,0.2175,0.11418,0.04618,0.04624,6e-05,72000,194.64614952068388,216.0572259679591,False
12,500,2,15,0.2175,0.11418,0.04618,0.04624,0.01498,180000,486.61537380170967,540.1430649198978,False
12,1000,2,15,0.2175,0.11418,0.04618,0.04624,0.10228,360000,973.2307476034193,1080.2861298397956,False
12,1500,2,15,0.2175,0.11418,0.04618,0.04624,0.15882,540000,1459.846121405129,1620.4291947596932,False
12,2000,2,15,0.2175,0.11418,0.04618,0.04624,0.38104,720000,1946.4614952068387,2160.5722596795913,False
12,3000,2,15,0.2175,0.11418,0.04618,0.04624,0.74684,1080000,2919.692242810258,3240.8583895193865,False
12,4000,2,15,0.2175,0.11418,0.04618,0.04624,0.91156,1440000,3892.9229904136773,4321.144519359183,False
12,5000,2,15,0.2175,0.11418,0.04618,0.04624,0.91156,1800000,4866.153738017097,5401.430649198977,False
16,20,2,15,0.26834,0.12658,0.04238,0.04224,0.0,9600,25.95281993609118,28.807630129061213,False
16,50,2,15,0.26834,0.12658,0.04238,0.04224,0.0,24000,64.88204984022795,72.01907532265304,False
16,100,2,15,0.26834,0.12658,0.04238,0.04224,0.0,48000,129.7640996804559,144.03815064530608,False
16,200,2,15,0.26834,0.12658,0.04238,0.04224,0.0,96000,259.5281993609118,288.07630129061215,False
16,500,2,15,0.26834,0.12658,0.04238,0.04224,0.00242,240000,648.8204984022796,720.1907532265303,False
16,1000,2,15,0.26834,0.12658,0.04238,0.04224,0.03378,480000,1297.640996804559,1440.3815064530606,False
16,1500,2,15,0.26834,0.12658,0.04238,0.04224,0.14378,720000,1946.4614952068387,2160.5722596795913,False
16,2000,2,15,0.26834,0.12658,0.04238,0.04224,0.27904,960000,2595.281993609118,2880.7630129061213,False
16,3000,2,15,0.26834,0.12658,0.04238,0.04224,0.70898,1440000,3892.9229904136773,4321.144519359183,False
16,4000,2,15,0.26834,0.12658,0.04238,0.04224,0.87606,1920000,5190.563987218236,5761.526025812243,False
16,5000,2,15,0.26834,0.12658,0.04238,0.04224,0.97364,2400000,6488.2049840227955,7201.907532265303,False
20,20,2,15,0.32618,0.14212,0.03848,0.03982,0.0,12000,32.441024920113975,36.00953766132652,False
20,50,2,15,0.32618,0.14212,0.03848,0.03982,0.0,30000,81.10256230028494,90.02384415331629,False
20,100,2,15,0.32618,0.14212,0.03848,0.03982,0.0,60000,162.2051246005699,180.04768830663258,False
20,200,2,15,0.32618,0.14212,0.03848,0.03982,0.0,120000,324.4102492011398,360.09537661326516,False
20,500,2,15,0.32618,0.14212,0.03848,0.03982,0.00112,300000,811.0256230028494,900.2384415331629,False
20,1000,2,15,0.32618,0.14212,0.03848,0.03982,0.0211,600000,1622.0512460056989,1800.4768830663259,False
20,1500,2,15,0.32618,0.14212,0.03848,0.03982,0.09324,900000,2433.0768690085483,2700.7153245994887,False
20,2000,2,15,0.32618,0.14212,0.03848,0.03982,0.2965,1200000,3244.1024920113978,3600.9537661326517,False
20,3000,2,15,0.32618,0.14212,0.03848,0.03982,0.73386,1800000,4866.153738017097,5401.430649198977,False
20,4000,2,15,0.32618,0.14212,0.03848,0.03982,0.95198,2400000,6488.2049840227955,7201.907532265303,False
20,5000,2,15,0.32618,0.14212,0.03848,0.03982,0.95198,3000000,8110.256230028494,9002.38441533163,False
24,20,2,15,0.38044,0.1554,0.03628,0.03812,0.0,14400,38.929229904136776,43.21144519359182,False
24,50,2,15,0.38044,0.1554,0.03628,0.03812,0.0,36000,97.32307476034194,108.02861298397956,False
