n_molecules,production_ps_per_stream_window,reference_threshold_kcal_mol,reliability_probability,median_cohort_q90_kcal_mol,q90_of_cohort_q90_kcal_mol
12,20,0.11144982433475654,0.0,1.2801198547432509,1.4278437418473555
12,50,0.11144982433475654,0.0,0.8096188837985145,0.9030476734110237
12,100,0.11144982433475654,0.0,0.5724870029106132,0.6385511336036696
12,200,0.11144982433475654,6e-05,0.40480944189925727,0.4515238367055118
12,500,0.11144982433475654,0.01498,0.25602397094865015,0.28556874836947105
12,1000,0.11144982433475654,0.10228,0.18103628600409818,0.20192759846700783
12,1500,0.11144982433475654,0.15882,0.14781550854620013,0.16487319374325865
12,2000,0.11144982433475654,0.38104,0.12801198547432507,0.14278437418473552
12,3000,0.11144982433475654,0.74684,0.10452134845755617,0.11658295333174164
12,4000,0.11144982433475654,0.91156,0.09051814300204909,0.10096379923350392
12,5000,0.11144982433475654,0.91156,0.08096188837985147,0.09030476734110236
16,20,0.11144982433475654,0.0,1.3020401933034706,1.6162364227752741
16,50,0.11144982433475654,0.0,0.8234825231849767,1.0221976666585408
16,100,0.11144982433475654,0.0,0.5822900763327054,0.7228029018073204
16,200,0.11144982433475654,0.0,0.41174126159248836,0.5110988333292704
16,500,0.11144982433475654,0.00242,0.2604080386606941,0.3232472845550548
16,1000,0.11144982433475654,0.03378,0.18413629001246545,0.22857034690901679
16,1500,0.11144982433475654,0.14378,0.15034665121989424,0.18662690675267646
16,2000,0.11144982433475654,0.27904,0.13020401933034706,0.1616236422775274
16,3000,0.11144982433475654,0.70898,0.10631113660627593,0.13196515131668698
16,4000,0.11144982433475654,0.87606,0.09206814500623273,0.11428517345450839
16,5000,0.11144982433475654,0.97364,0.08234825231849767,0.1022197666658541
20,20,0.11144982433475654,0.0,1.3097204723412488,1.4773346049835505
20,50,0.11144982433475654,0.0,0.8283399581499817,0.9343484435866318
20,100,0.11144982433475654,0.0,0.5857248015356331,0.6606841204512037
20,200,0.11144982433475654,0.0,0.41416997907499087,0.4671742217933159
20,500,0.11144982433475654,0.00112,0.26194409446824973,0.2954669209967101
20,1000,0.11144982433475654,0.0211,0.185222445490269,0.20892666345308364
20,1500,0.11144982433475654,0.09324,0.15123349345387677,0.17058790637408047
20,2000,0.11144982433475654,0.2965,0.13097204723412487,0.14773346049835506
20,3000,0.11144982433475654,0.73386,0.1069382287637676,0.12062386538552819
20,4000,0.11144982433475654,0.95198,0.0926112227451345,0.10446333172654182
20,5000,0.11144982433475654,0.95198,0.08283399581499817,0.09343484435866319
24,20,0.11144982433475654,0.0,1.3074163886299153,1.4278437418473555
24,50,0.11144982433475654,0.0,0.8268827276604801,0.9030476734110237
24,100,0.11144982433475654,0.0,0.5846943839747547,0.6385511336036696
24,200,0.11144982433475654,0.0,0.41344136383024005,0.4515238367055118
24,500,0.11144982433475654,0.00038,0.26148327772598307,0.28556874836947105
24,1000,0.11144982433475654,0.01584,0.18489659884692794,0.20192759846700783
24,1500,0.11144982433475654,0.0406,0.150967440783682,0.16487319374325865
24,2000,0.11144982433475654,0.21224,0.13074163886299153,0.14278437418473552
24,3000,0.11144982433475654,0.69758,0.1067501011165201,0.11658295333174164
24,4000,0.11144982433475654,0.92304,0.09244829942346397,0.10096379923350392
24,5000,0.11144982433475654,0.94766,0.08268827276604801,0.09030476734110236
32,20,0.11144982433475654,0.0,1.3089524444374712,1.4278437418473555
32,50,0.11144982433475654,0.0,0.8278542146534812,0.9030476734110237
32,100,0.11144982433475654,0.0,0.5853813290153403,0.6385511336036696
32,200,0.11144982433475654,0.0,0.4139271073267406,0.4515238367055118
