source,match_type,benchmark_molecule_id,benchmark_smiles,source_smiles,source_connectivity_key,value
endpoint_experimental,morgan_similarity_1_nonidentical,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,C1CC1,C1CCCCCCC1,WJTCGQSWYFHTAC,1.0
endpoint_experimental,morgan_similarity_1_nonidentical,RGSFGYAAUTVSQA-UHFFFAOYSA-N,C1CCCC1,C1CCCCCCC1,WJTCGQSWYFHTAC,1.0
endpoint_experimental,morgan_similarity_1_nonidentical,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,C1CCCCCCC1,WJTCGQSWYFHTAC,1.0
endpoint_experimental,morgan_similarity_1_nonidentical,DMEGYFMYUHOHGS-UHFFFAOYSA-N,C1CCCCCC1,C1CCCCCCC1,WJTCGQSWYFHTAC,1.0
endpoint_experimental,morgan_similarity_1_nonidentical,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCC,BJQWYEJQWHSSCJ,1.0
endpoint_experimental,morgan_similarity_1_nonidentical,HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,OC1CCCCCC1,QCRFMSUKWRQZEM,1.0
endpoint_experimental,morgan_similarity_1_nonidentical,KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,CCCCCCCO,BBMCTIGTTCKYKF,1.0
combisolv_qm,morgan_similarity_1_nonidentical,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,C1CC1,C1CCC1,PMPVIKIVABFJJI,1.0
combisolv_qm,morgan_similarity_1_nonidentical,RGSFGYAAUTVSQA-UHFFFAOYSA-N,C1CCCC1,C1CCC1,PMPVIKIVABFJJI,1.0
combisolv_qm,morgan_similarity_1_nonidentical,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,C1CCC1,PMPVIKIVABFJJI,1.0
combisolv_qm,morgan_similarity_1_nonidentical,DMEGYFMYUHOHGS-UHFFFAOYSA-N,C1CCCCCC1,C1CCC1,PMPVIKIVABFJJI,1.0
combisolv_qm,morgan_similarity_1_nonidentical,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,IGGUPRCHHJZPBS,1.0
combisolv_qm,morgan_similarity_1_nonidentical,HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,OC1CCCCCCC1,FHADSMKORVFYOS,1.0
combisolv_qm,morgan_similarity_1_nonidentical,KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,CCCCCCCCCCO,MWKFXSUHUHTGQN,1.0
combisolv_qm,canonical_tautomer_key,QLNJFJADRCOGBJ-UHFFFAOYSA-N,CCC(N)=O,CC=C(N)O,HGWRHJDKBMHCEZ,QLNJFJADRCOGBJ
combisolv_qm,canonical_tautomer_key,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(C)=O,C=C(O)CC,IKZZIQXKLWDPCD,ZWEHNKRNPOVVGH
abraham,morgan_similarity_1_nonidentical,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,C1CC1,C1CCCCCCCCCCC1,DDTBPAQBQHZRDW,1.0
abraham,morgan_similarity_1_nonidentical,RGSFGYAAUTVSQA-UHFFFAOYSA-N,C1CCCC1,C1CCCCCCCCCCC1,DDTBPAQBQHZRDW,1.0
abraham,morgan_similarity_1_nonidentical,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,C1CCCCCCCCCCC1,DDTBPAQBQHZRDW,1.0
abraham,morgan_similarity_1_nonidentical,DMEGYFMYUHOHGS-UHFFFAOYSA-N,C1CCCCCC1,C1CCCCCCCCCCC1,DDTBPAQBQHZRDW,1.0
abraham,morgan_similarity_1_nonidentical,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,CCCCCCCCCCCCCC,BGHCVCJVXZWKCC,1.0
abraham,morgan_similarity_1_nonidentical,IFLREYGFSNHWGE-UHFFFAOYSA-N,c1ccc2cc3cc4ccccc4cc3cc2c1,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,SLIUAWYAILUBJU,1.0
abraham,morgan_similarity_1_nonidentical,HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,OC1CCCCCCC1,FHADSMKORVFYOS,1.0
abraham,morgan_similarity_1_nonidentical,KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,CCCCCCCO,BBMCTIGTTCKYKF,1.0
openff,morgan_similarity_1_nonidentical,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,CCCCCCCCC,BKIMMITUMNQMOS,1.0
openff,morgan_similarity_1_nonidentical,HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,OC1CCCCCC1,QCRFMSUKWRQZEM,1.0
openff,morgan_similarity_1_nonidentical,KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,CCCCCCCO,BBMCTIGTTCKYKF,1.0
gbn2,morgan_similarity_1_nonidentical,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,CCCCCCCCC,BKIMMITUMNQMOS,1.0
gbn2,morgan_similarity_1_nonidentical,HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,OC1CCCCCC1,QCRFMSUKWRQZEM,1.0
gbn2,morgan_similarity_1_nonidentical,KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,CCCCCCCO,BBMCTIGTTCKYKF,1.0
molsolv_smd,morgan_similarity_1_nonidentical,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,C1CC1,C1CCC1,PMPVIKIVABFJJI,1.0
molsolv_smd,morgan_similarity_1_nonidentical,RGSFGYAAUTVSQA-UHFFFAOYSA-N,C1CCCC1,C1CCC1,PMPVIKIVABFJJI,1.0
molsolv_smd,morgan_similarity_1_nonidentical,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,C1CCC1,PMPVIKIVABFJJI,1.0
molsolv_smd,morgan_similarity_1_nonidentical,DMEGYFMYUHOHGS-UHFFFAOYSA-N,C1CCCCCC1,C1CCC1,PMPVIKIVABFJJI,1.0
molsolv_smd,morgan_similarity_1_nonidentical,HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,OC1CCCCCC1,QCRFMSUKWRQZEM,1.0
molsolv_smd,canonical_tautomer_key,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,C=C(C)O,NARVIWMVBMUEOG,CSCPPACGZOOCGX
molsolv_smd,canonical_tautomer_key,DLFVBJFMPXGRIB-UHFFFAOYSA-N,CC(N)=O,C=C(N)O,UEFNHFCSZBRPPV,DLFVBJFMPXGRIB
molsolv_smd,canonical_tautomer_key,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(C)=O,C=C(O)CC,IKZZIQXKLWDPCD,ZWEHNKRNPOVVGH
molsolv_smd,canonical_tautomer_key,XNLICIUVMPYHGG-UHFFFAOYSA-N,CCCC(C)=O,C=C(O)CCC,RTJBLRZRSVEQRH,XNLICIUVMPYHGG
molsolv_smd,canonical_tautomer_key,QQZOPKMRPOGIEB-UHFFFAOYSA-N,CCCCC(C)=O,C=C(O)CCCC,IOMJAOKYRWWMNU,QQZOPKMRPOGIEB
molsolv_smd,canonical_tautomer_key,FXHOOIRPVKKKFG-UHFFFAOYSA-N,CC(=O)N(C)C,C=C(O)N(C)C,NVLNZFLRJJQWMO,FXHOOIRPVKKKFG
molsolv_smd,canonical_tautomer_key,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,CNC(C)=O,C=C(O)NC,KGXKMMIMTSXVPH,OHLUUHNLEMFGTQ
molsolv_smd,canonical_tautomer_key,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,C=C(O)O,LONYOMRPNGXPGP,QTBSBXVTEAMEQO
molsolv_smd,canonical_tautomer_key,XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(C)=O,C=C(O)OCC,JRIOFJCKXHHBJZ,XEKOWRVHYACXOJ
molsolv_smd,canonical_tautomer_key,RLSSMJSEOOYNOY-UHFFFAOYSA-N,Cc1cccc(O)c1,C=C1C=CCC(=O)C1,CXCVAWWDSCDXRQ,RLSSMJSEOOYNOY
molsolv_smd,canonical_tautomer_key,IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O,C=CO,IMROMDMJAWUWLK,IKHGUXGNUITLKF
molsolv_smd,canonical_tautomer_key,RLSSMJSEOOYNOY-UHFFFAOYSA-N,Cc1cccc(O)c1,CC1=CC(=O)C=CC1,LJUAYUFIFMXYBH,RLSSMJSEOOYNOY
molsolv_smd,canonical_tautomer_key,RLSSMJSEOOYNOY-UHFFFAOYSA-N,Cc1cccc(O)c1,CC1=CC(=O)CC=C1,YOLGBYBQRZXSLA,RLSSMJSEOOYNOY
molsolv_smd,canonical_tautomer_key,RLSSMJSEOOYNOY-UHFFFAOYSA-N,Cc1cccc(O)c1,CC1=CC=CC(=O)C1,QZRROGXWZYTYFV,RLSSMJSEOOYNOY
molsolv_smd,canonical_tautomer_key,QWVGKYWNOKOFNN-UHFFFAOYSA-N,Cc1ccccc1O,CC1=CC=CCC1=O,NXHAPHMFZMYDHW,QWVGKYWNOKOFNN
