source,source_smiles,source_connectivity_key,source_smiles_sha256
combisolv_qm,CC=C(N)O,HGWRHJDKBMHCEZ,9b9e7646572bfbb70f00168f2fee0d3ec2a9d9a543d217ab506bb4448d13d50d
combisolv_qm,C=C(O)CC,IKZZIQXKLWDPCD,bf69571ac448a9feb410091ee898a65d9b14c9af2a002decb380cc574434d5dd
molsolv_smd,C=C(C)O,NARVIWMVBMUEOG,2131ca7b785fc48fa891bacc769a23a06d82e47a840b07de4e98b76924dbf4cb
molsolv_smd,C=C(N)O,UEFNHFCSZBRPPV,957caf34c0bcd22a188db0f454e1895537b6349db5d41b133bf7a4889ba20b5a
molsolv_smd,C=C(O)CC,IKZZIQXKLWDPCD,bf69571ac448a9feb410091ee898a65d9b14c9af2a002decb380cc574434d5dd
molsolv_smd,C=C(O)CCC,RTJBLRZRSVEQRH,d76df2898d20f1275994abed5ca1f97c8c832735940faaa5f1228cc4ba9bdf26
molsolv_smd,C=C(O)CCCC,IOMJAOKYRWWMNU,e25248a9694cb52c944b4dc6cb31f2aa4477bb84ff5840a0aaf32f7850b8c031
molsolv_smd,C=C(O)N(C)C,NVLNZFLRJJQWMO,f67fe174b2e6e584bd01729fc2fd4e1c30f1134c67d0948013242787f476584a
molsolv_smd,C=C(O)NC,KGXKMMIMTSXVPH,f29e0d37e1bf0596d89fcbd5740903f90cd6d5d35d4867e23dba125395211222
molsolv_smd,C=C(O)O,LONYOMRPNGXPGP,c9a759cfc3494b0251abdc833fa221a25b6d2df7ed80f0e083f72f116dd02bd1
molsolv_smd,C=C(O)OCC,JRIOFJCKXHHBJZ,86287869236c07897a75b6b4115b96211a26417460aa4630fa180b670e47747c
molsolv_smd,C=C1C=CCC(=O)C1,CXCVAWWDSCDXRQ,2821dbcaf45fe3bafc1ddb384276e625b92120af39dde2c1e0ce06225c088f6d
molsolv_smd,C=CO,IMROMDMJAWUWLK,d027397deb79935c6ec37efaf1af8745177b55615655bcb36254e1c659d73d0f
molsolv_smd,CC1=CC(=O)C=CC1,LJUAYUFIFMXYBH,9c962c614ab7c81c3e5a1c0f02efae48a60a3eadbefdbfba77a7bd24dd8b13a7
molsolv_smd,CC1=CC(=O)CC=C1,YOLGBYBQRZXSLA,20b8a39195640210d475530a82cc0aa2835e037f0622d869e1fb52d0ec83c2e3
molsolv_smd,CC1=CC=CC(=O)C1,QZRROGXWZYTYFV,1bf38b5890794a712aa46adf71eeba7412ce7e37c91177f8815ecbeb7dc08de1
molsolv_smd,CC1=CC=CCC1=O,NXHAPHMFZMYDHW,379c568bb5ec705342b0bbf5e44f321c73872e9e19f385eafddfcc618117249c
molsolv_smd,CC1=CCC(=O)C=C1,PUFOTCLCASXUFR,fac94c11cf363d8e3cb354c93cba1a62e6e8320d741e156fad79a76df93c262d
molsolv_smd,CC1=CCC=CC1=O,SCPWMBCIMTYFOP,803e48ab67e6dbdad8a35766db1b7d0e4a27ef86b5f752d7468553c8b1927dbf
molsolv_smd,CC1C=CC(=O)C=C1,PAXYTJVAGMMBQX,bbd9aae1ceb039e661b80ab1a5c19f81af9f9d2d8f284580bfa752c4ce06a8f7
molsolv_smd,CC1C=CC=CC1=O,JQGQIRPONOJDCO,f0ebd97f219f39f2f4bbff450686e1aafd801d769139553e255a91c0c2cb69f5
molsolv_smd,CC1C=Nc2ccccc21,GHVBYKSRYACRGI,a202a2b0ab4a912154d54ac4f3ee82ce8a3ddb06cd8c5b38a3e2bd5d1cc2f8d3
molsolv_smd,CC=C(C)O,ZEXFAVZTIZXHFA,a8a0cca1a46c1ab25b69bccc9ac0a6f6dcfa1a7328bfbc1a874ac876979a68a8
molsolv_smd,CC=C(N)O,HGWRHJDKBMHCEZ,9b9e7646572bfbb70f00168f2fee0d3ec2a9d9a543d217ab506bb4448d13d50d
molsolv_smd,CC=C(O)CC,AWDHENOHUFETCY,8e5dff65e17286c7847b76392e094df11bd6716424663c221a3e2092da90ccbe
molsolv_smd,CC=C(O)O,JNLTYWDDGFTRSX,75e69aecbf1f9d1af2c3022d9c23db97617544dce0ada9861a72ea4ea240849d
molsolv_smd,CC=C(O)OC,AMKFWCMOLFAZFO,aa402401b2142151e9599988a8c04136aa6f86f54488770891e220d7ea7c1034
molsolv_smd,CC=CO,DOKHEARVIDLSFF,1cb7f6ab8d5f40406c21384ae270e4a4aded2fbc19df0cc1dc3b1f581972bc65
