pool,pool_index,molecule_id,connectivity_key,canonical_smiles,primary_family,scaffold_key,butina_cluster_0_70
benchmark,0,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,LVZWSLJZHVFIQJ,C1CC1,saturated_hydrocarbon,C1CC1,13
benchmark,1,RGSFGYAAUTVSQA-UHFFFAOYSA-N,RGSFGYAAUTVSQA,C1CCCC1,saturated_hydrocarbon,C1CCCC1,13
benchmark,2,XDTMQSROBMDMFD-UHFFFAOYSA-N,XDTMQSROBMDMFD,C1CCCCC1,saturated_hydrocarbon,C1CCCCC1,13
benchmark,3,DMEGYFMYUHOHGS-UHFFFAOYSA-N,DMEGYFMYUHOHGS,C1CCCCCC1,saturated_hydrocarbon,C1CCCCCC1,13
benchmark,4,NNPPMTNAJDCUHE-UHFFFAOYSA-N,NNPPMTNAJDCUHE,CC(C)C,saturated_hydrocarbon,ACYCLIC::saturated_hydrocarbon,591
benchmark,5,CRSOQBOWXPBRES-UHFFFAOYSA-N,CRSOQBOWXPBRES,CC(C)(C)C,saturated_hydrocarbon,ACYCLIC::saturated_hydrocarbon,990
benchmark,6,VNWKTOKETHGBQD-UHFFFAOYSA-N,VNWKTOKETHGBQD,C,saturated_hydrocarbon,ACYCLIC::saturated_hydrocarbon,295
benchmark,7,OTMSDBZUPAUEDD-UHFFFAOYSA-N,OTMSDBZUPAUEDD,CC,saturated_hydrocarbon,ACYCLIC::saturated_hydrocarbon,554
benchmark,8,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,ATUOYWHBWRKTHZ,CCC,saturated_hydrocarbon,ACYCLIC::saturated_hydrocarbon,1066
benchmark,9,IJDNQMDRQITEOD-UHFFFAOYSA-N,IJDNQMDRQITEOD,CCCC,saturated_hydrocarbon,ACYCLIC::saturated_hydrocarbon,790
benchmark,10,OFBQJSOFQDEBGM-UHFFFAOYSA-N,OFBQJSOFQDEBGM,CCCCC,saturated_hydrocarbon,ACYCLIC::saturated_hydrocarbon,1
benchmark,11,VLKZOEOYAKHREP-UHFFFAOYSA-N,VLKZOEOYAKHREP,CCCCCC,saturated_hydrocarbon,ACYCLIC::saturated_hydrocarbon,1
benchmark,12,TVMXDCGIABBOFY-UHFFFAOYSA-N,TVMXDCGIABBOFY,CCCCCCCC,saturated_hydrocarbon,ACYCLIC::saturated_hydrocarbon,1
benchmark,13,VGGSQFUCUMXWEO-UHFFFAOYSA-N,VGGSQFUCUMXWEO,C=C,alkene_or_diene,ACYCLIC::alkene_or_diene,307
benchmark,14,QQONPFPTGQHPMA-UHFFFAOYSA-N,QQONPFPTGQHPMA,C=CC,alkene_or_diene,ACYCLIC::alkene_or_diene,475
benchmark,15,KAKZBPTYRLMSJV-UHFFFAOYSA-N,KAKZBPTYRLMSJV,C=CC=C,alkene_or_diene,ACYCLIC::alkene_or_diene,726
benchmark,16,VXNZUUAINFGPBY-UHFFFAOYSA-N,VXNZUUAINFGPBY,C=CCC,alkene_or_diene,ACYCLIC::alkene_or_diene,288
benchmark,17,YWAKXRMUMFPDSH-UHFFFAOYSA-N,YWAKXRMUMFPDSH,C=CCCC,alkene_or_diene,ACYCLIC::alkene_or_diene,151
benchmark,18,BAVYZALUXZFZLV-UHFFFAOYSA-N,BAVYZALUXZFZLV,CN,amine,ACYCLIC::amine,1056
benchmark,19,ROSDSFDQCJNGOL-UHFFFAOYSA-N,ROSDSFDQCJNGOL,CNC,amine,ACYCLIC::amine,425
benchmark,20,GETQZCLCWQTVFV-UHFFFAOYSA-N,GETQZCLCWQTVFV,CN(C)C,amine,ACYCLIC::amine,884
benchmark,21,HQABUPZFAYXKJW-UHFFFAOYSA-N,HQABUPZFAYXKJW,CCCCN,amine,ACYCLIC::amine,9
benchmark,22,QUSNBJAOOMFDIB-UHFFFAOYSA-N,QUSNBJAOOMFDIB,CCN,amine,ACYCLIC::amine,466
benchmark,23,LCGLNKUTAGEVQW-UHFFFAOYSA-N,LCGLNKUTAGEVQW,COC,ether,ACYCLIC::ether,677
benchmark,24,RTZKZFJDLAIYFH-UHFFFAOYSA-N,RTZKZFJDLAIYFH,CCOCC,ether,ACYCLIC::ether,415
benchmark,25,XTHFKEDIFFGKHM-UHFFFAOYSA-N,XTHFKEDIFFGKHM,COCCOC,ether,ACYCLIC::ether,203
benchmark,26,VNKYTQGIUYNRMY-UHFFFAOYSA-N,VNKYTQGIUYNRMY,CCCOC,ether,ACYCLIC::ether,296
benchmark,27,IKHGUXGNUITLKF-UHFFFAOYSA-N,IKHGUXGNUITLKF,CC=O,aldehyde,ACYCLIC::aldehyde,787
benchmark,28,NBBJYMSMWIIQGU-UHFFFAOYSA-N,NBBJYMSMWIIQGU,CCC=O,aldehyde,ACYCLIC::aldehyde,610
