regime,fast_method,requested_pimd_fraction,n_molecules,n_pimd,realized_pimd_fraction,nominal_ideal_speedup,finite_sample_ideal_speedup,fast_mae,pimd_corrected_mae,oracle_mae
random_oof,Nested structure-only physics mixture,0.0,85,0,0.0,inf,inf,0.23860611898039202,0.1868217189440212,0.23860611898039202
random_oof,Nested structure-only physics mixture,0.01,85,1,0.011764705882352941,100.0,85.0,0.23860611898039202,0.1868217189440212,0.21781364224525349
random_oof,Nested structure-only physics mixture,0.02,85,2,0.023529411764705882,50.0,42.5,0.23860611898039202,0.1868217189440212,0.20763043121979421
random_oof,Nested structure-only physics mixture,0.05,85,4,0.047058823529411764,20.0,21.25,0.23860611898039202,0.1868217189440212,0.18803440245552094
random_oof,Nested structure-only physics mixture,0.1,85,8,0.09411764705882353,10.0,10.625,0.23860611898039202,0.1868217189440212,0.1606936550881162
random_oof,Nested structure-only physics mixture,0.15,85,13,0.15294117647058825,6.666666666666667,6.538461538461538,0.23860611898039202,0.1868217189440212,0.13986343971754836
random_oof,Nested structure-only physics mixture,0.2,85,17,0.2,5.0,5.0,0.23860611898039202,0.1868217189440212,0.12940327739678004
random_oof,Nested structure-only physics mixture,0.3,85,26,0.3058823529411765,3.3333333333333335,3.269230769230769,0.23860611898039202,0.1868217189440212,0.11451611904254139
family_holdout,Nested structure-only learned expert gate,0.0,85,0,0.0,inf,inf,0.31017180314845944,0.19644319866557736,0.31017180314845944
family_holdout,Nested structure-only learned expert gate,0.01,85,1,0.011764705882352941,100.0,85.0,0.31017180314845944,0.19644319866557736,0.2819240534752569
family_holdout,Nested structure-only learned expert gate,0.02,85,2,0.023529411764705882,50.0,42.5,0.31017180314845944,0.19644319866557736,0.2585745593000312
family_holdout,Nested structure-only learned expert gate,0.05,85,4,0.047058823529411764,20.0,21.25,0.31017180314845944,0.19644319866557736,0.23509202473731736
family_holdout,Nested structure-only learned expert gate,0.1,85,8,0.09411764705882353,10.0,10.625,0.31017180314845944,0.19644319866557736,0.21104417677124201
family_holdout,Nested structure-only learned expert gate,0.15,85,13,0.15294117647058825,6.666666666666667,6.538461538461538,0.31017180314845944,0.19644319866557736,0.18954243657174
family_holdout,Nested structure-only learned expert gate,0.2,85,17,0.2,5.0,5.0,0.31017180314845944,0.19644319866557736,0.17498875106629339
family_holdout,Nested structure-only learned expert gate,0.3,85,26,0.3058823529411765,3.3333333333333335,3.269230769230769,0.31017180314845944,0.19644319866557736,0.15077599248910706
scaffold_holdout,ExtraTrees ARROW+QM,0.0,85,0,0.0,inf,inf,0.3098974998935576,0.2012755957346847,0.3098974998935576
scaffold_holdout,ExtraTrees ARROW+QM,0.01,85,1,0.011764705882352941,100.0,85.0,0.3098974998935576,0.2012755957346847,0.28806643865490195
scaffold_holdout,ExtraTrees ARROW+QM,0.02,85,2,0.023529411764705882,50.0,42.5,0.3098974998935576,0.2012755957346847,0.2693693495014628
scaffold_holdout,ExtraTrees ARROW+QM,0.05,85,4,0.047058823529411764,20.0,21.25,0.3098974998935576,0.2012755957346847,0.24839658057554065
scaffold_holdout,ExtraTrees ARROW+QM,0.1,85,8,0.09411764705882353,10.0,10.625,0.3098974998935576,0.2012755957346847,0.2178766235137574
scaffold_holdout,ExtraTrees ARROW+QM,0.15,85,13,0.15294117647058825,6.666666666666667,6.538461538461538,0.3098974998935576,0.2012755957346847,0.19296804935112916
scaffold_holdout,ExtraTrees ARROW+QM,0.2,85,17,0.2,5.0,5.0,0.3098974998935576,0.2012755957346847,0.17697497729120726
scaffold_holdout,ExtraTrees ARROW+QM,0.3,85,26,0.3058823529411765,3.3333333333333335,3.269230769230769,0.3098974998935576,0.2012755957346847,0.1510709902364953
