policy,policy_class,validation_status,regime,requested_pimd_fraction,n_pimd,full_pimd_fraction,probe_fraction,probe_success_fraction,mae,normalized_cost,speedup,source_policy,mae_ci_low_95,mae_ci_high_95,probability_mae_below_0_20,cost_basis
PIMD8 + nested ML residual,baseline,fully nested correction,family_holdout,1.0,85,1.0,0.0,0.0,0.1964431986655773,1.0000013836423025,0.999998616359612,,,,,RTX 3090 measured-rate extrapolation: 15 windows x 1 ns; observed probe campaign time; conservative cold-start ML time
PIMD8 baseline,baseline,observed labels,family_holdout,1.0,85,1.0,0.0,0.0,0.20483647058823526,1.0,1.0,,,,,RTX 3090 measured-rate extrapolation: 15 windows x 1 ns; observed probe campaign time; conservative cold-start ML time
Zero-simulation fast model,baseline,strict OOF,family_holdout,0.0,0,0.0,0.0,0.0,0.3101718031484594,1.3836423024463755e-06,722730.1436447344,,,,,RTX 3090 measured-rate extrapolation: 15 windows x 1 ns; observed probe campaign time; conservative cold-start ML time
Post-hoc best probe router,hybrid_probe,exploratory envelope; not confirmatory,family_holdout,0.01,1,0.0117647058823529,0.8941176470588236,0.8705882352941177,0.293632089619359,0.012155698051796693,82.2659460393715,probe_then_expected_error_xgboost,,,,RTX 3090 measured-rate extrapolation: 15 windows x 1 ns; observed probe campaign time; conservative cold-start ML time
Post-hoc best probe router,hybrid_probe,exploratory envelope; not confirmatory,family_holdout,0.02,2,0.0235294117647058,0.8941176470588236,0.8705882352941177,0.2900338718316216,0.023920403934149594,41.80531410560193,probe_then_low_similarity,,,,RTX 3090 measured-rate extrapolation: 15 windows x 1 ns; observed probe campaign time; conservative cold-start ML time
Post-hoc best probe router,hybrid_probe,exploratory envelope; not confirmatory,family_holdout,0.05,4,0.0470588235294117,0.8941176470588236,0.8705882352941177,0.2844784986741364,0.047449815698855494,21.074897452639007,probe_then_value_rank_ensemble,,,,RTX 3090 measured-rate extrapolation: 15 windows x 1 ns; observed probe campaign time; conservative cold-start ML time
Post-hoc best probe router,hybrid_probe,exploratory envelope; not confirmatory,family_holdout,0.1,8,0.0941176470588235,0.8941176470588236,0.8705882352941177,0.2796749691248056,0.0945086392282673,10.581043258751127,probe_then_expected_value_catboost,,,,RTX 3090 measured-rate extrapolation: 15 windows x 1 ns; observed probe campaign time; conservative cold-start ML time
Post-hoc best probe router,hybrid_probe,exploratory envelope; not confirmatory,family_holdout,0.15,13,0.1529411764705882,0.8941176470588236,0.8705882352941177,0.2683875193043885,0.153332168640032,6.521788668805926,probe_then_expected_value_ridge,,,,RTX 3090 measured-rate extrapolation: 15 windows x 1 ns; observed probe campaign time; conservative cold-start ML time
Post-hoc best probe router,hybrid_probe,exploratory envelope; not confirmatory,family_holdout,0.2,17,0.2,0.8941176470588236,0.8705882352941177,0.2536061141733582,0.2003909921694438,4.9902442678383165,probe_then_expected_value_ridge,,,,RTX 3090 measured-rate extrapolation: 15 windows x 1 ns; observed probe campaign time; conservative cold-start ML time
Post-hoc best probe router,hybrid_probe,exploratory envelope; not confirmatory,family_holdout,0.3,26,0.3058823529411765,0.8941176470588236,0.8705882352941177,0.2431343585583567,0.30627334511062027,3.265057230621289,probe_then_expected_value_ridge,,,,RTX 3090 measured-rate extrapolation: 15 windows x 1 ns; observed probe campaign time; conservative cold-start ML time
