analysis,candidate,reference,candidate_mae,reference_mae,difference,ci_low_95,ci_high_95,probability_lower_error,fraction_molecules_improved,outcome,material
primary_B_empirical_residual,B_empirical_residual,A_structure_only,0.24271149684355184,0.3033484655954973,-0.06063696875194537,-0.10846401845024138,-0.021678297306191825,0.99977,0.6352941176470588,positive,True
primary_C_computation_core,C_computation_core,A_structure_only,0.25267977086834753,0.3033484655954973,-0.05066869472714972,-0.14441762304796793,0.029360250689581646,0.88354,0.5647058823529412,neutral,True
primary_D_smd_water,D_smd_water,A_structure_only,0.2531149568445899,0.3033484655954973,-0.05023350875090733,-0.12846209405280626,0.005594183097378165,0.9529,0.47058823529411764,neutral,True
primary_E_confsolv,E_confsolv,A_structure_only,0.2989909179660747,0.3033484655954973,-0.004357547629422555,-0.014172776426107179,0.004480840743399201,0.81882,0.5294117647058824,neutral,False
primary_F_full_solvai,F_full_solvai,A_structure_only,0.20223406721910991,0.3033484655954973,-0.10111439837638733,-0.21507104085129367,-0.020276464489833643,0.99613,0.6235294117647059,positive,True
primary_G_narrow_reference,G_narrow_reference,A_structure_only,0.21175834559601642,0.3033484655954973,-0.09159011999948086,-0.18290361699716012,-0.018690167630848124,0.99458,0.6588235294117647,positive,True
primary_H_narrow_smd_reference,H_narrow_smd_reference,A_structure_only,0.2065202326123045,0.3033484655954973,-0.09682823298319279,-0.2086385564792761,-0.016358500696971947,0.99399,0.6,positive,True
five_repeat_molecule_averaged,F_full_solvai,A_structure_only,0.20737285802417268,0.31295301471314446,-0.10558015668897179,-0.216305404977228,-0.027141068800886417,0.99834,0.611764705882353,positive,True
aligned_vs_mean_shuffle_primary_-1,F_full_solvai,mean_shuffled_full_priors,0.20223406721910991,0.3063926423264856,-0.10415857510737574,-0.21371020798314092,-0.02469119905593153,0.99733,0.6235294117647059,positive,True
aligned_vs_mean_shuffle_repeat_0,F_full_solvai,mean_shuffled_full_priors,0.20788201841217988,0.3174683795772384,-0.10958636116505843,-0.21912620724609685,-0.03052484716868951,0.99872,0.6941176470588235,positive,True
aligned_vs_mean_shuffle_repeat_1,F_full_solvai,mean_shuffled_full_priors,0.21010232724867706,0.31047534316422826,-0.10037301591555117,-0.20717775908969932,-0.023332140326292126,0.9975,0.6235294117647059,positive,True
aligned_vs_mean_shuffle_repeat_2,F_full_solvai,mean_shuffled_full_priors,0.21217026111889212,0.31206177622004355,-0.09989151510115148,-0.2088948694935153,-0.024575128162127997,0.99819,0.6352941176470588,positive,True
aligned_vs_mean_shuffle_repeat_3,F_full_solvai,mean_shuffled_full_priors,0.20617718261489784,0.3079828787804751,-0.10180569616557726,-0.20869569632645982,-0.02484659657070171,0.99768,0.6470588235294118,positive,True
aligned_vs_mean_shuffle_repeat_4,F_full_solvai,mean_shuffled_full_priors,0.2005325007262165,0.3089481315141615,-0.10841563078794492,-0.22172722786925506,-0.02932474129123927,0.99877,0.6352941176470588,positive,True
zero_arrow_transfer,F_full_solvai,A_structure_only,0.25694059186637636,0.38482234658678305,-0.12788175472040675,-0.2459894356617646,-0.03736648695079923,0.99914,0.6352941176470588,positive,True
