partition,repeat,split_seed,method,shuffle_seed,mae_difference_vs_structure,ci_low_95,ci_high_95,probability_lower_error,fraction_molecules_improved,material,outcome
repeat,0,314159,B_empirical_residual,,-0.06716469318912792,-0.10590509848914653,-0.032417820527739734,0.99998,0.6941176470588235,True,positive
repeat,0,314159,C_computation_core,,-0.05865908018466649,-0.15104623288722852,0.021967938218500495,0.9177,0.5882352941176471,True,neutral
repeat,0,314159,D_smd_water,,-0.06852860350918198,-0.14457871959228136,-0.016529720603797662,0.99854,0.6,True,positive
repeat,0,314159,E_confsolv,,-0.007242840250545012,-0.014700057075552924,-0.00016941680555582165,0.97785,0.5058823529411764,False,positive
repeat,0,314159,F_full_solvai,,-0.11257434800290528,-0.22399944414358391,-0.03214610272836909,0.99895,0.6352941176470588,True,positive
repeat,0,314159,G_narrow_reference,,-0.10245684436404232,-0.19386663605949733,-0.026705017236358514,0.99679,0.6470588235294118,True,positive
repeat,0,314159,H_narrow_smd_reference,,-0.11315288422813614,-0.2260999100311884,-0.03138805892195788,0.9987,0.6470588235294118,True,positive
repeat,1,271828,B_empirical_residual,,-0.06206714434329265,-0.09930141325202226,-0.02842197041348885,0.99988,0.5764705882352941,True,positive
repeat,1,271828,C_computation_core,,-0.058491478516961466,-0.1534994162267855,0.020800678449787946,0.91863,0.6,True,neutral
repeat,1,271828,D_smd_water,,-0.06859486962859172,-0.13988763672807022,-0.018230106776635762,0.99899,0.6235294117647059,True,positive
repeat,1,271828,E_confsolv,,-0.005772970017636932,-0.014407348875726369,0.002580683847455147,0.91008,0.4823529411764706,False,neutral
repeat,1,271828,F_full_solvai,,-0.11336642746135427,-0.21950294467845397,-0.03722843660208454,0.9995,0.6235294117647059,True,positive
repeat,1,271828,G_narrow_reference,,-0.09648688445896864,-0.1927895222128211,-0.02088441821123851,0.995,0.611764705882353,True,positive
repeat,1,271828,H_narrow_smd_reference,,-0.10724969550005166,-0.21734675043268295,-0.028026337322077065,0.99821,0.6352941176470588,True,positive
repeat,2,161803,B_empirical_residual,,-0.05464821127710319,-0.08871607431262245,-0.024043423574346377,0.99994,0.6352941176470588,True,positive
repeat,2,161803,C_computation_core,,-0.04923661668482148,-0.13711573988140502,0.02631152281700725,0.89146,0.6,True,neutral
repeat,2,161803,D_smd_water,,-0.0608739916692605,-0.1372321675715842,-0.008809405673696417,0.99404,0.5647058823529412,True,positive
repeat,2,161803,E_confsolv,,-0.006595103898226082,-0.015383927612499178,0.0018039774874859258,0.93709,0.5764705882352941,False,neutral
repeat,2,161803,F_full_solvai,,-0.1034110831310303,-0.21477923198866564,-0.024852477324735483,0.99789,0.5882352941176471,True,positive
repeat,2,161803,G_narrow_reference,,-0.09150349131393279,-0.17852201608562898,-0.0207432560205284,0.99554,0.6470588235294118,True,positive
repeat,2,161803,H_narrow_smd_reference,,-0.10067747591036429,-0.20993132415940433,-0.022841056854575565,0.99725,0.6470588235294118,True,positive
repeat,3,141421,B_empirical_residual,,-0.06539526024483766,-0.10292953215614888,-0.03188695538845894,0.99999,0.6588235294117647,True,positive
repeat,3,141421,C_computation_core,,-0.050079746815020906,-0.14052201753339152,0.030215682846185272,0.88195,0.5529411764705883,True,neutral
repeat,3,141421,D_smd_water,,-0.07536441702199277,-0.1551585241999945,-0.01958210311987695,0.99914,0.6235294117647059,True,positive
repeat,3,141421,E_confsolv,,-0.015725541238716865,-0.025935773235488,-0.006450879924524947,0.99984,0.6470588235294118,True,positive
repeat,3,141421,F_full_solvai,,-0.11071843902634997,-0.22574696588060095,-0.029015532468940102,0.99869,0.6352941176470588,True,positive
repeat,3,141421,G_narrow_reference,,-0.09644963456790047,-0.18853072948328303,-0.023092908472869687,0.99628,0.6588235294117647,True,positive
repeat,3,141421,H_narrow_smd_reference,,-0.10957539353667288,-0.21864449564957403,-0.03024267074035108,0.99866,0.6588235294117647,True,positive
repeat,4,173205,B_empirical_residual,,-0.05126836974011824,-0.08991167572446596,-0.016569726805554633,0.9988,0.6235294117647059,True,positive
repeat,4,173205,C_computation_core,,-0.055239450025935874,-0.15034327996498484,0.025116986871305046,0.90169,0.6235294117647059,True,neutral
repeat,4,173205,D_smd_water,,-0.06438007622159997,-0.1377012056599493,-0.012593441150469918,0.99642,0.611764705882353,True,positive
repeat,4,173205,E_confsolv,,-0.0026947016858597473,-0.011108154551236878,0.005244022416808748,0.73668,0.5176470588235295,False,neutral
repeat,4,173205,F_full_solvai,,-0.10777198503216108,-0.21535851449119514,-0.03054849743995823,0.99887,0.611764705882353,True,positive
repeat,4,173205,G_narrow_reference,,-0.09751962604523311,-0.1969395555940062,-0.019387867865248848,0.99433,0.6470588235294118,True,positive
repeat,4,173205,H_narrow_smd_reference,,-0.11154676157796485,-0.2235929881247407,-0.03127642820494894,0.99887,0.6,True,positive
