partition,repeat,split_seed,method,shuffle_seed,mae,rmse,median_absolute_error,r2,n
primary,-1,,Z_shuffled_full_priors,88001,0.30620785488380525,0.574874149952829,0.16788501653439258,0.9656472063259833,85
primary,-1,,Z_shuffled_full_priors,88002,0.30994332180464695,0.5866051089525414,0.17042215608465572,0.9642308860390862,85
primary,-1,,Z_shuffled_full_priors,88003,0.30353020330947134,0.5819898810800985,0.16817566600528977,0.9647915125992953,85
primary,-1,,Z_shuffled_full_priors,88004,0.31012951247795373,0.577649897197358,0.17547502976190466,0.9653146643958741,85
primary,-1,,Z_shuffled_full_priors,88005,0.3059620997717598,0.5691399549517614,0.17097891313932756,0.9663291057710272,85
repeat,0,314159.0,Z_shuffled_full_priors,88001,0.32132520488380534,0.5837689393732137,0.18625821208113003,0.964575929163622,85
repeat,0,314159.0,Z_shuffled_full_priors,88002,0.3213879890315389,0.583521849423993,0.183379585537919,0.9646059104759586,85
repeat,0,314159.0,Z_shuffled_full_priors,88003,0.3253650964700697,0.5816927197088589,0.19829899691358888,0.964827458005416,85
repeat,0,314159.0,Z_shuffled_full_priors,88004,0.32000687977227904,0.5796242051222428,0.18535324074073856,0.9650771622032073,85
repeat,0,314159.0,Z_shuffled_full_priors,88005,0.3130275646306676,0.5686828946499793,0.17928268298060024,0.9663831643534705,85
repeat,1,271828.0,Z_shuffled_full_priors,88001,0.3139860218461452,0.5740148487054105,0.18595218253967616,0.9657498282170185,85
repeat,1,271828.0,Z_shuffled_full_priors,88002,0.314979948498288,0.5886627409922419,0.16870309435626085,0.9639795116258297,85
repeat,1,271828.0,Z_shuffled_full_priors,88003,0.3129997800990763,0.5805393117164769,0.1741815608465609,0.9649668032965198,85
repeat,1,271828.0,Z_shuffled_full_priors,88004,0.31107272092021965,0.5680999772170698,0.17407951940035993,0.9664520456106814,85
repeat,1,271828.0,Z_shuffled_full_priors,88005,0.29664698946726814,0.5500630493986601,0.16029668209876302,0.9685484940956596,85
repeat,2,161803.0,Z_shuffled_full_priors,88001,0.31052503054258723,0.5786304334971955,0.17120959193121754,0.965196810670765,85
repeat,2,161803.0,Z_shuffled_full_priors,88002,0.31208231204741155,0.5608507307285453,0.17790977733684965,0.9673027611137739,85
repeat,2,161803.0,Z_shuffled_full_priors,88003,0.31108694859165914,0.5811418659340059,0.16557759303351105,0.9648940421416732,85
repeat,2,161803.0,Z_shuffled_full_priors,88004,0.31226514558823565,0.5719316914159625,0.16073045745149983,0.9659979717267672,85
repeat,2,161803.0,Z_shuffled_full_priors,88005,0.3168375096145867,0.5906837847704371,0.17238535052909487,0.9637317502219864,85
repeat,3,141421.0,Z_shuffled_full_priors,88001,0.31020062043521107,0.5683259613483832,0.16225303130511737,0.966425350262977,85
repeat,3,141421.0,Z_shuffled_full_priors,88002,0.30585832348013237,0.5598647295789699,0.15390469775132343,0.967417626528389,85
repeat,3,141421.0,Z_shuffled_full_priors,88003,0.3235720826693637,0.5915124571568375,0.1789966710758395,0.9636299171273592,85
repeat,3,141421.0,Z_shuffled_full_priors,88004,0.2993796767195765,0.5759626226289087,0.1622676146384494,0.9655169952996652,85
repeat,3,141421.0,Z_shuffled_full_priors,88005,0.30703862096690543,0.5696299869670323,0.16322160493826887,0.9662710992324994,85
repeat,4,173205.0,Z_shuffled_full_priors,88001,0.3033280851825917,0.5614008065637082,0.18362020502645615,0.9672385915220733,85
repeat,4,173205.0,Z_shuffled_full_priors,88002,0.3136547967605564,0.573474226752766,0.1852195987654337,0.9658143132218262,85
repeat,4,173205.0,Z_shuffled_full_priors,88003,0.31492626185288947,0.5801253108755684,0.18825949074073023,0.9650167520288591,85
repeat,4,173205.0,Z_shuffled_full_priors,88004,0.3111169559005087,0.5664411269587232,0.19140999889770893,0.9666476794237722,85
repeat,4,173205.0,Z_shuffled_full_priors,88005,0.3147170722196287,0.5680908318603363,0.18605780401234862,0.9664531257217652,85
