regime,threshold,method,n,mae,rmse,median_absolute_error,r2
global_family,,A_structure_only,85,1.2619780647862848,1.6793650644722147,0.9052450176366844,0.7068386391852499
global_family,,F_full_solvai,85,0.4656088667133521,0.6967494206223946,0.28341497993827247,0.9495373872618045
global_scaffold,,A_structure_only,85,0.7281063199424207,1.009936395997323,0.6335415123456816,0.8939759115500927
global_scaffold,,F_full_solvai,85,0.3784545774821036,0.5159869575282038,0.2781442164903001,0.9723245973216426
global_butina_0_70,,A_structure_only,85,0.34947328531746,0.6023165977067343,0.20095903483245237,0.962289163842202
global_butina_0_70,,F_full_solvai,85,0.21838649690061232,0.34467689858113015,0.11652993276014545,0.9876507423078575
global_nn_0.50,0.5,A_structure_only,85,0.3585356085148865,0.6215809236190689,0.1942534598765444,0.9598383215137792
global_nn_0.50,0.5,F_full_solvai,85,0.2168686981688972,0.33117223000397844,0.13393516313933773,0.9885994888123555
global_nn_0.60,0.6,A_structure_only,85,0.34392641039267546,0.6077478574579445,0.21146252204584748,0.9616059988905095
global_nn_0.60,0.6,F_full_solvai,85,0.21479229552598833,0.33237905830033565,0.12236214947089885,0.9885162479671351
global_nn_0.70,0.7,A_structure_only,85,0.34315530811546757,0.597512238083392,0.1966628417107632,0.9628883631511694
global_nn_0.70,0.7,F_full_solvai,85,0.21141767099024805,0.3351742216640303,0.12298968253968567,0.9883222891041076
global_nn_0.80,0.8,A_structure_only,85,0.33936288289760275,0.6027907467219461,0.18728494863316092,0.9622297678575591
global_nn_0.80,0.8,F_full_solvai,85,0.21190388819120262,0.33771428644340223,0.12188713668430307,0.9881446230716374
