partition,repeat,split_seed,method,mae,rmse,median_absolute_error,r2,n
standardized_exclusion_primary,-1,,A_structure_only,0.30334846559549733,0.5860682079014722,0.15915984347442524,0.9642963327457892,85
standardized_exclusion_primary,-1,,B_empirical_residual,0.2427114968435519,0.5223263315259199,0.1192223985890668,0.9716403843763156,85
standardized_exclusion_primary,-1,,C_computation_core,0.2526797708683476,0.42170326749315346,0.12869298500881632,0.9815145327587264,85
standardized_exclusion_primary,-1,,D_smd_water,0.2531149568445899,0.3954937760303025,0.1398791556437402,0.9837409260333835,85
standardized_exclusion_primary,-1,,E_confsolv,0.29899091796607474,0.5615235421471564,0.16317464726631226,0.967224265108291,85
standardized_exclusion_primary,-1,,F_full_solvai,0.20223406721910994,0.31764489263688783,0.1168803902116462,0.9895118170649344,85
standardized_exclusion_primary,-1,,G_narrow_reference,0.21175834559601645,0.34559506842292576,0.11031338183422168,0.9875848613719137,85
standardized_exclusion_primary,-1,,H_narrow_smd_reference,0.20652023261230443,0.3247721634400191,0.11640588183421707,0.9890358720051045,85
standardized_exclusion_repeat,0,314159.0,A_structure_only,0.3177992605949793,0.5850273401160279,0.18238905886243506,0.9644230408513139,85
standardized_exclusion_repeat,0,314159.0,F_full_solvai,0.20788201841217988,0.32652281100692243,0.11893543871252188,0.9889173516478884,85
standardized_exclusion_repeat,1,271828.0,A_structure_only,0.3105856474841784,0.5724022285738342,0.16818158068783218,0.9659420007099857,85
standardized_exclusion_repeat,1,271828.0,F_full_solvai,0.21010232724867706,0.31846542876862155,0.12662194003527238,0.9894575612048778,85
standardized_exclusion_repeat,2,161803.0,A_structure_only,0.3130893817901236,0.587264506517292,0.1650133046737272,0.9641504253587327,85
standardized_exclusion_repeat,2,161803.0,F_full_solvai,0.21217026111889203,0.3290829361035252,0.11493585074955792,0.9887428817772227,85
standardized_exclusion_repeat,3,141421.0,A_structure_only,0.31601905095704874,0.5961762714836073,0.15828908730158986,0.9630541320734992,85
standardized_exclusion_repeat,3,141421.0,F_full_solvai,0.20617718261489784,0.32793553638026957,0.11895105048501042,0.9888212443743544,85
standardized_exclusion_repeat,4,173205.0,A_structure_only,0.3072717327393923,0.5665816720009532,0.1640346671075701,0.966631126653816,85
standardized_exclusion_repeat,4,173205.0,F_full_solvai,0.20053250072621656,0.30807997523985914,0.11814123677248922,0.9901339470579048,85
standardized_exclusion_zero_arrow,-1,,A_structure_only,0.38482234658678305,0.6746143761610521,0.22200771604938185,0.9526927520805402,85
standardized_exclusion_zero_arrow,-1,,F_full_solvai,0.25694059186637624,0.36624473566112103,0.1706203703703677,0.9860569019296441,85
