partition,repeat,split_seed,method,shuffle_seed,mae,rmse,median_absolute_error,r2,n
primary,-1,,Z_shuffled_full_priors,88001,0.30777234434069906,0.5756739812300595,0.1698528439153435,0.9655515486832116,85
primary,-1,,Z_shuffled_full_priors,88002,0.31092755623508606,0.5804200106178072,0.17360587522045812,0.964981200493498,85
primary,-1,,Z_shuffled_full_priors,88003,0.30350296820728256,0.5721482397162289,0.16295325176366982,0.9659722187374983,85
primary,-1,,Z_shuffled_full_priors,88004,0.30755890543624836,0.5733789379113423,0.17391434082892276,0.9658256729087976,85
primary,-1,,Z_shuffled_full_priors,88005,0.3059946149055917,0.5788833441630585,0.17663454144620983,0.9651663801198984,85
repeat,0,314159.0,Z_shuffled_full_priors,88001,0.31439883936611646,0.5676021283972362,0.1748027777777672,0.9665108186856223,85
repeat,0,314159.0,Z_shuffled_full_priors,88002,0.32047999007417816,0.5797558608548095,0.18275816203703843,0.9650612956678777,85
repeat,0,314159.0,Z_shuffled_full_priors,88003,0.32216602005913464,0.5749532662250102,0.18580546737212789,0.9656377501624179,85
repeat,0,314159.0,Z_shuffled_full_priors,88004,0.32203036296296306,0.5874555209079557,0.1818982363315702,0.9641271006107217,85
repeat,0,314159.0,Z_shuffled_full_priors,88005,0.31240111618425165,0.5596621970442142,0.18106689814814647,0.9674411957826674,85
repeat,1,271828.0,Z_shuffled_full_priors,88001,0.3140111907511148,0.5791832150873938,0.17879812610229107,0.9651302820169252,85
repeat,1,271828.0,Z_shuffled_full_priors,88002,0.3137858811261538,0.5792572308859081,0.16401810097001723,0.9651213692070755,85
repeat,1,271828.0,Z_shuffled_full_priors,88003,0.3105535430205411,0.5720250103793338,0.16165504850088097,0.9659868749718857,85
repeat,1,271828.0,Z_shuffled_full_priors,88004,0.3101608104237991,0.5572718033514261,0.1786885141093535,0.967718728025785,85
repeat,1,271828.0,Z_shuffled_full_priors,88005,0.30710165201006273,0.5738266330745471,0.16497257539682542,0.965772285339287,85
repeat,2,161803.0,Z_shuffled_full_priors,88001,0.31111997194211044,0.5778873517518115,0.16273396825396946,0.9652861423316359,85
repeat,2,161803.0,Z_shuffled_full_priors,88002,0.3116589699476087,0.5719233904974832,0.1631300859788356,0.9659989587188182,85
repeat,2,161803.0,Z_shuffled_full_priors,88003,0.30557561328716676,0.5659939725813893,0.16116993364197718,0.9667003159607132,85
repeat,2,161803.0,Z_shuffled_full_priors,88004,0.3146672938842204,0.57972704220573,0.17110920634920768,0.9650647690652235,85
repeat,2,161803.0,Z_shuffled_full_priors,88005,0.3184326954689282,0.5773252481411499,0.17340510141093368,0.9653536409358487,85
repeat,3,141421.0,Z_shuffled_full_priors,88001,0.30869401180101713,0.5694982584812842,0.14715022927689603,0.9662866972290627,85
repeat,3,141421.0,Z_shuffled_full_priors,88002,0.3100766504512912,0.5746958834778564,0.1605314933862445,0.9656685083863602,85
repeat,3,141421.0,Z_shuffled_full_priors,88003,0.3200558570183626,0.5819686412147482,0.18100785934744268,0.964794082437397,85
repeat,3,141421.0,Z_shuffled_full_priors,88004,0.2999966080169098,0.5684154114535942,0.1586094069664925,0.9664147806515206,85
repeat,3,141421.0,Z_shuffled_full_priors,88005,0.30782077479510334,0.5709532435739233,0.16589942680775938,0.9661142120176258,85
repeat,4,173205.0,Z_shuffled_full_priors,88001,0.300623470780164,0.5705309342735434,0.1475976818783049,0.9661643211683463,85
repeat,4,173205.0,Z_shuffled_full_priors,88002,0.31029256350762563,0.5775643234329786,0.17405190917107927,0.9653249402910064,85
repeat,4,173205.0,Z_shuffled_full_priors,88003,0.3152105992737836,0.5812762315304006,0.18285485008818592,0.9648778065938564,85
repeat,4,173205.0,Z_shuffled_full_priors,88004,0.3068818257547467,0.5662111653571292,0.1890600925925936,0.9666747544217663,85
repeat,4,173205.0,Z_shuffled_full_priors,88005,0.3149703814166409,0.573588630120427,0.17736779938271718,0.9658006723375018,85
