regime,threshold,method,n,mae,rmse,median_absolute_error,r2
global_family,,A_structure_only,85,1.2619780647862846,1.679365064472215,0.9052450176366844,0.7068386391852499
global_family,,F_full_solvai,85,0.4677933152583255,0.702175419251768,0.29093485449735557,0.9487483626292732
global_scaffold,,A_structure_only,85,0.7281063199424205,1.0099363959973229,0.6335415123456807,0.8939759115500927
global_scaffold,,F_full_solvai,85,0.3761935493360304,0.5074301057127314,0.2913821199294513,0.9732348944336033
global_butina_0_70,,A_structure_only,85,0.34947328531746,0.6023165977067343,0.20095903483245237,0.9622891638422021
global_butina_0_70,,F_full_solvai,85,0.2157005113160082,0.33148889720503744,0.13827416181657792,0.988577676029373
global_nn_0.50,0.5,A_structure_only,85,0.3585356085148865,0.6215809236190689,0.1942534598765444,0.9598383215137792
global_nn_0.50,0.5,F_full_solvai,85,0.2186971786544249,0.32580227852852894,0.15004585537918835,0.9889662094745489
global_nn_0.60,0.6,A_structure_only,85,0.3439264103926754,0.6077478574579445,0.21146252204584748,0.9616059988905095
global_nn_0.60,0.6,F_full_solvai,85,0.2113965726138604,0.32735328006358955,0.1224432319223987,0.9888609053565297
global_nn_0.70,0.7,A_structure_only,85,0.34315530811546757,0.597512238083392,0.1966628417107632,0.9628883631511694
global_nn_0.70,0.7,F_full_solvai,85,0.21099725487602444,0.3321249069125521,0.1357588412698414,0.9885338031987
global_nn_0.80,0.8,A_structure_only,85,0.33936288289760275,0.6027907467219461,0.18728494863316092,0.9622297678575591
global_nn_0.80,0.8,F_full_solvai,85,0.20951534420323698,0.3268354547670861,0.12856478174603403,0.9888961183400908
