regime,threshold,fold,n_test,n_arrow_train,n_public_train,n_arrow_removed,n_public_removed,test_groups,maximum_remaining_similarity
global_family,,0,17,68,1144,0,136,alcohol_or_phenol,
global_family,,1,17,68,1159,0,121,amide|saturated_hydrocarbon,
global_family,,2,17,68,980,0,300,aromatic_heterocycle|carbocyclic_aromatic|other|sulfide_or_disulfide,
global_family,,3,17,68,982,0,298,amine|carboxylic_acid|ether|thiol,
global_family,,4,17,68,855,0,425,aldehyde|alkene_or_diene|ester|ketone,
global_scaffold,,0,17,68,1217,0,63,ACYCLIC::alcohol_or_phenol|ACYCLIC::carboxylic_acid|c1c[nH]cn1|c1ccc2c(c1)ccc1ccccc12,
global_scaffold,,1,17,68,1140,0,140,ACYCLIC::ester|ACYCLIC::saturated_hydrocarbon|C1CCCCC1|c1cc2ccc3cccc4ccc(c1)c2c34|c1ccc2cc3cc4ccccc4cc3cc2c1,
global_scaffold,,2,17,68,916,0,364,ACYCLIC::aldehyde|ACYCLIC::amide|c1cc[nH]c1|c1ccc2cc3ccccc3cc2c1|c1ccccc1|c1ccncc1,
global_scaffold,,3,17,68,1079,0,201,ACYCLIC::alkene_or_diene|ACYCLIC::ketone|ACYCLIC::sulfide_or_disulfide|C1CCCC1|c1ccc(-c2ccccc2)cc1|c1ccc2ccccc2c1,
global_scaffold,,4,17,68,1102,0,178,ACYCLIC::amine|ACYCLIC::ether|ACYCLIC::other|ACYCLIC::thiol|C1CC1|C1CCCCCC1|c1ccc2[nH]ccc2c1,
global_butina_0_70,,0,17,68,1278,0,2,13|51|108|134|262|333|459|483|591|671|767|787|920|990,
global_butina_0_70,,1,17,68,1254,0,26,1|7|52|148|261|307|415|543|610|677|738|790|946|1019|1073,
global_butina_0_70,,2,17,68,1266,0,14,3|9|110|151|242|296|364|475|554|622|716|731|884|1046|1066,
global_butina_0_70,,3,17,68,1277,0,3,18|90|203|221|236|295|431|466|563|651|726|727|895|942|949|1053,
global_butina_0_70,,4,17,68,1277,0,3,22|112|218|230|288|337|425|436|451|470|481|569|666|772|919|989|1056,
global_nn_0.50,0.5,0,17,58,1233,10,47,,0.4782608695652174
global_nn_0.50,0.5,1,17,50,1178,18,102,,0.4782608695652174
global_nn_0.50,0.5,2,17,54,1223,14,57,,0.4782608695652174
global_nn_0.50,0.5,3,17,55,1202,13,78,,0.4827586206896552
global_nn_0.50,0.5,4,17,56,1253,12,27,,0.48
global_nn_0.60,0.6,0,17,63,1258,5,22,,0.5882352941176471
global_nn_0.60,0.6,1,17,62,1228,6,52,,0.5909090909090909
global_nn_0.60,0.6,2,17,62,1262,6,18,,0.5882352941176471
global_nn_0.60,0.6,3,17,62,1238,6,42,,0.5882352941176471
global_nn_0.60,0.6,4,17,65,1273,3,7,,0.5833333333333334
global_nn_0.70,0.7,0,17,65,1265,3,15,,0.6666666666666666
global_nn_0.70,0.7,1,17,63,1255,5,25,,0.6666666666666666
global_nn_0.70,0.7,2,17,63,1270,5,10,,0.6363636363636364
global_nn_0.70,0.7,3,17,63,1243,5,37,,0.6470588235294118
global_nn_0.70,0.7,4,17,65,1279,3,1,,0.6923076923076923
global_nn_0.80,0.8,0,17,67,1278,1,2,,0.7777777777777778
global_nn_0.80,0.8,1,17,64,1256,4,24,,0.7058823529411765
global_nn_0.80,0.8,2,17,64,1270,4,10,,0.7692307692307693
global_nn_0.80,0.8,3,17,66,1248,2,32,,0.7692307692307693
global_nn_0.80,0.8,4,17,65,1279,3,1,,0.6923076923076923
