solvai_error_rank,molecule_id,molecule_name,canonical_smiles,functional_group_family,scaffold,delta_g_pimd8,delta_g_classical_arrow,heavy_atom_count,molecular_weight,hbd,hba,tpsa,logp,rotatable_bonds,delta_g_exp,delta_g_solvai,solvai_absolute_error,delta_g_structure_only,structure_only_absolute_error,absolute_error_improvement,pimd8_absolute_error,solvai_signed_error,pimd8_signed_error,solvai_pimd8_error_same_direction,pimd8_more_accurate,solvai_large_pimd8_small,aromatic_ring_count,ring_count,larger_aromatic_posthoc,repeat_mean_prediction,repeat_prediction_sd,repeat_mean_absolute_error,repeat_max_absolute_error
1,VNWKTOKETHGBQD-UHFFFAOYSA-N,Methane,C,Alkanes,ACYCLIC::alkanes,1.8687,1.6352,1,16.043,0,0,0.0,0.6361,0,1.9598,0.8577792535273371,1.1020207464726628,1.2685898897707215,0.6912101102292785,-0.4108106362433843,0.09109999999999996,-1.1020207464726628,-0.09109999999999996,True,True,True,0,0,False,0.8116125355820104,0.018978172762865363,1.1481874644179895,1.1766046763668427
2,DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-Methyl-2-Propanol,CC(C)(C)O,Alcohols,ACYCLIC::alcohols,-4.16,-5.36,5,74.12299999999999,1,1,20.23,0.7771999999999999,0,-4.51,-5.562208245149912,1.0522082451499122,-4.451607837301587,0.05839216269841252,-0.9938160824514997,0.34999999999999964,-1.0522082451499122,0.34999999999999964,False,True,True,0,0,False,-5.43879510802469,0.04588672231617129,0.9287951080246906,0.986638657407406
3,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,N-Methylacetamide,CNC(C)=O,Amides,ACYCLIC::amides,-10.4937,-11.5197,5,73.095,1,1,29.1,-0.24770000000000003,0,-10.0,-8.959736474867727,1.0402635251322732,-8.707569257054667,1.2924307429453332,0.25216721781306006,0.49370000000000047,1.0402635251322732,-0.49370000000000047,False,True,True,0,0,False,-8.959902665343918,0.009679320255731046,1.0400973346560825,1.050929563492062
4,RLSSMJSEOOYNOY-UHFFFAOYSA-N,m-cresol,Cc1cccc(O)c1,Aromatics,c1ccccc1,-6.5195,-7.6077,8,108.13999999999999,1,1,20.23,1.7006199999999998,0,-5.49,-6.299778273809525,0.8097782738095249,-6.368680610670199,0.878680610670199,0.06890233686067404,1.0294999999999996,-0.8097782738095249,-1.0294999999999996,True,False,False,1,1,True,-6.315120557760144,0.007485572469519512,0.8251205577601437,0.8348270502645523
5,IFLREYGFSNHWGE-UHFFFAOYSA-N,tetracene,c1ccc2cc3cc4ccccc4cc3cc2c1,Aromatics,c1ccc2cc3cc4ccccc4cc3cc2c1,-5.0602,-5.8887,18,228.29399999999998,0,0,0.0,5.146200000000003,0,-5.5,-6.253779783950615,0.7537797839506153,-6.271254894179893,0.7712548941798927,0.01747511022927739,0.43979999999999997,-0.7537797839506153,0.43979999999999997,False,True,True,4,4,True,-6.347857052469135,0.11915991833833832,0.8478570524691353,0.9427527447089936
6,XTHFKEDIFFGKHM-UHFFFAOYSA-N,DiMethoxyEthane,COCCOC,Ethers,ACYCLIC::ethers,-4.6433,-5.207,6,90.122,0,2,18.46,0.2792,3,-4.84,-4.116507749118166,0.7234922508818338,-3.6917091380070537,1.1482908619929462,0.4247986111111124,0.19669999999999987,0.7234922508818338,0.19669999999999987,True,True,True,0,0,False,-4.141588527336859,0.05673006247329725,0.6984114726631413,0.7938554673721363
7,BBEAQIROQSPTKN-UHFFFAOYSA-N,pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,Aromatics,c1cc2ccc3cccc4ccc(c1)c2c34,-4.5089,-4.9711,16,202.25599999999997,0,0,0.0,4.584000000000002,0,-4.52,-5.236562147266305,0.7165621472663055,-5.337113029100505,0.8171130291005051,0.10055088183419958,0.011099999999999888,-0.7165621472663055,0.011099999999999888,False,True,True,4,4,True,-5.429850200617276,0.18344117900461915,0.9098502006172767,1.0727268628747728
8,FXHOOIRPVKKKFG-UHFFFAOYSA-N,DiMethylAcetamide,CC(=O)N(C)C,Amides,ACYCLIC::amides,-8.5092,-9.1358,6,87.122,0,1,20.310000000000002,0.09450000000000003,0,-8.5,-7.799899503968258,0.7001004960317418,-7.053119984567895,1.4468800154321046,0.7467795194003628,0.009199999999999875,0.7001004960317418,-0.009199999999999875,False,True,True,0,0,False,-8.019298059964731,0.05435014931264145,0.48070194003526917,0.5669066137566121
9,QTBSBXVTEAMEQO-UHFFFAOYSA-N,AceticAcid,CC(=O)O,Acids,ACYCLIC::acids,-6.3481,-6.8778,4,60.05200000000001,1,1,37.3,0.09089999999999993,0,-6.69,-7.240937632275134,0.5509376322751338,-6.483702480158727,0.2062975198412733,-0.3446401124338605,0.34190000000000076,-0.5509376322751338,0.34190000000000076,False,True,True,0,0,False,-7.227309863315698,0.0725712251422455,0.5373098633156976,0.6240978946208147
10,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,Phenol,Oc1ccccc1,Aromatics,c1ccccc1,-6.8008,-7.6381,7,94.11299999999999,1,1,20.23,1.3921999999999999,0,-6.62,-6.131583190035272,0.48841680996472814,-5.765652458112872,0.8543475418871278,0.36593073192239967,0.18079999999999963,0.48841680996472814,-0.18079999999999963,False,True,False,1,1,False,-6.158646746031743,0.05656314874869426,0.46135325396825716,0.5132047288359818
11,YNPNZTXNASCQKK-UHFFFAOYSA-N,phenanthrene,c1ccc2c(c1)ccc1ccccc12,Aromatics,c1ccc2c(c1)ccc1ccccc12,-3.971,-4.2254,14,178.23399999999998,0,0,0.0,3.993000000000002,0,-3.88,-4.329250154320987,0.44925015432098725,-4.21813521825397,0.33813521825396986,-0.11111493606701739,0.09100000000000019,-0.44925015432098725,-0.09100000000000019,True,True,False,3,3,True,-4.227450965608464,0.07891509943666025,0.34745096560846334,0.48517186948853475
12,DMEGYFMYUHOHGS-UHFFFAOYSA-N,Cycloheptane,C1CCCCCC1,Alkanes,C1CCCCCC1,0.9095,0.1235,7,98.18900000000001,0,0,0.0,2.7307000000000015,0,0.789,1.2380387334656067,0.44903873346560663,1.1639684358465592,0.37496843584655914,-0.07407029761904749,0.12049999999999994,0.44903873346560663,0.12049999999999994,True,True,False,0,1,False,1.2223721764550253,0.01065261509870063,0.43337217645502524,0.44535674911816436
