diagnostic_group,n,solvai_mae,structure_only_mae,pimd8_mae,mean_heavy_atoms,posthoc
all,85,0.20223406721910991,0.3033484655954972,0.20483647058823531,5.588235294117647,False
amides,4,0.4830242972883607,0.7083994874338686,0.1836000000000002,5.0,True
all_aromatic_structures,17,0.26526317849361986,0.42584348720043286,0.31723529411764706,9.470588235294118,True
larger_aromatics_heavy_atoms_ge_8_posthoc,10,0.3343838205467359,0.4301797497795391,0.3880200000000001,11.8,True
all_heavy_atoms_ge_8_posthoc,13,0.2673079658458819,0.35135751712793295,0.3252692307692308,11.0,True
family::Alkanes,13,0.2337451442646861,0.20137321521842363,0.09150769230769235,4.538461538461538,True
family::Alcohols,13,0.19633346391263087,0.10873571004612874,0.16153846153846138,5.230769230769231,True
family::Amides,4,0.4830242972883607,0.7083994874338686,0.1836000000000002,5.0,True
family::Aromatics,13,0.3132016865418524,0.6628599423246494,0.26839999999999997,9.923076923076923,True
family::Ethers,4,0.2412925207231032,0.5769742091049384,0.16847499999999999,4.75,True
family::Acids,3,0.229814509847149,0.11115271164021341,0.3316000000000002,5.0,True
family::Amines,5,0.13838554012345572,0.1921300736331518,0.1620000000000002,3.4,True
family::Sulfides,4,0.11479335372574923,0.11119656194885325,0.10250000000000004,4.0,True
family::Ketones,5,0.1603209634038798,0.22002675925925946,0.18444000000000002,5.6,True
family::Aldehydes,3,0.11667494194591461,0.22524239050558537,0.1991333333333333,4.0,True
family::Thiols,4,0.09532786496913606,0.1915631588403886,0.43999999999999995,3.5,True
family::Heterorings,5,0.12239019091711026,0.5271582032627803,0.41516000000000003,6.6,True
family::Alkenes,5,0.08505586463844812,0.1307924941358022,0.21799999999999997,3.6,True
family::Esters,4,0.054817146164021446,0.10594191743827108,0.1409499999999999,6.75,True
