section,metric,value,unit,n
method,classical_arrow.mae,0.784648235294118,kcal/mol,85.0
method,classical_arrow.rmse,0.886770269142631,kcal/mol,85.0
method,arrow_pimd8.mae,0.20483647058823526,kcal/mol,85.0
method,arrow_pimd8.rmse,0.2796643809997977,kcal/mol,85.0
method,matched_structure_only.mae,0.3033484655954973,kcal/mol,85.0
method,matched_structure_only.rmse,0.5860682079014722,kcal/mol,85.0
method,empirical_residual_block.mae,0.24271149684355184,kcal/mol,85.0
method,empirical_residual_block.rmse,0.52232633152592,kcal/mol,85.0
method,computation_core_block.mae,0.25267977086834753,kcal/mol,85.0
method,computation_core_block.rmse,0.42170326749315346,kcal/mol,85.0
method,smd_water_block.mae,0.2531149568445899,kcal/mol,85.0
method,smd_water_block.rmse,0.39549377603030245,kcal/mol,85.0
method,confsolv_block.mae,0.2989909179660747,kcal/mol,85.0
method,confsolv_block.rmse,0.5615235421471564,kcal/mol,85.0
method,full_solvai.mae,0.20223406721910991,kcal/mol,85.0
method,full_solvai.rmse,0.31764489263688783,kcal/mol,85.0
method,narrow_response.mae,0.21175834559601642,kcal/mol,85.0
method,narrow_response.rmse,0.34559506842292576,kcal/mol,85.0
method,narrow_plus_smd.mae,0.2065202326123045,kcal/mol,85.0
method,narrow_plus_smd.rmse,0.3247721634400191,kcal/mol,85.0
method,zero_arrow_structure_only.mae,0.38482234658678305,kcal/mol,85.0
method,zero_arrow_structure_only.rmse,0.6746143761610521,kcal/mol,85.0
method,zero_arrow_full_solvai.mae,0.25694059186637636,kcal/mol,85.0
method,zero_arrow_full_solvai.rmse,0.36624473566112103,kcal/mol,85.0
repeat,matched_structure_only.mean_kcal_mol,0.31295301471314446,kcal/mol,5.0
repeat,matched_structure_only.sd_kcal_mol,0.004206740598072428,kcal/mol,5.0
repeat,full_solvai.mean_kcal_mol,0.20737285802417266,kcal/mol,5.0
repeat,full_solvai.sd_kcal_mol,0.004442534486346242,kcal/mol,5.0
global_separation,global_butina_0_70.A_structure_only.mae,0.34947328531745997,kcal/mol,85.0
global_separation,global_butina_0_70.F_full_solvai.mae,0.2157005113160082,kcal/mol,85.0
global_separation,global_family.A_structure_only.mae,1.2619780647862848,kcal/mol,85.0
global_separation,global_family.F_full_solvai.mae,0.4677933152583255,kcal/mol,85.0
global_separation,global_nn_0.50.A_structure_only.mae,0.3585356085148865,kcal/mol,85.0
global_separation,global_nn_0.50.F_full_solvai.mae,0.2186971786544248,kcal/mol,85.0
global_separation,global_nn_0.60.A_structure_only.mae,0.34392641039267546,kcal/mol,85.0
global_separation,global_nn_0.60.F_full_solvai.mae,0.21139657261386036,kcal/mol,85.0
global_separation,global_nn_0.70.A_structure_only.mae,0.34315530811546774,kcal/mol,85.0
global_separation,global_nn_0.70.F_full_solvai.mae,0.2109972548760245,kcal/mol,85.0
global_separation,global_nn_0.80.A_structure_only.mae,0.3393628828976028,kcal/mol,85.0
global_separation,global_nn_0.80.F_full_solvai.mae,0.20951534420323698,kcal/mol,85.0
global_separation,global_scaffold.A_structure_only.mae,0.7281063199424205,kcal/mol,85.0
global_separation,global_scaffold.F_full_solvai.mae,0.3761935493360304,kcal/mol,85.0
data,molsolv_source_calculations,1729545.0,count,
data,molsolv_exact_connectivity_filtered_structures,350391.0,count,
data,molsolv_confirmatory_rows,350359.0,count,
data,confsolv_source_water_conformers,5392567.0,count,
data,confsolv_exact_connectivity_filtered_connectivities,39878.0,count,
data,confsolv_model_usable_rows,17851.0,count,
data,confsolv_confirmatory_rows,17829.0,count,
data,combisolv_confirmatory_rows,3959.0,count,
data,endpoint_public_labels,1280.0,count,
data,arrow85_connectivities_also_in_freesolv,80.0,count,
data,standardized_teacher_rows_removed,56.0,count,
tier_a_external,endpoint_disjoint.matched_structure_only.mae,1.531647178872018,kcal/mol,220.0
tier_a_external,endpoint_disjoint.matched_structure_only.rmse,2.309736437003002,kcal/mol,220.0
tier_a_external,endpoint_disjoint.full_solvai.mae,1.152554228782572,kcal/mol,220.0
tier_a_external,endpoint_disjoint.full_solvai.rmse,1.577229348428527,kcal/mol,220.0
tier_a_external,endpoint_disjoint.paired_mae_difference,-0.37909295008944593,kcal/mol,220.0
tier_a_external,strict_response_source_disjoint.matched_structure_only.mae,2.1383039557875114,kcal/mol,97.0
tier_a_external,strict_response_source_disjoint.matched_structure_only.rmse,3.080513921077273,kcal/mol,97.0
tier_a_external,strict_response_source_disjoint.full_solvai.mae,1.5355951977058884,kcal/mol,97.0
tier_a_external,strict_response_source_disjoint.full_solvai.rmse,1.987916522845103,kcal/mol,97.0
tier_a_external,strict_response_source_disjoint.paired_mae_difference,-0.6027087580816224,kcal/mol,97.0
weight_one_sensitivity,A_structure_only.mae,0.3097661465141612,kcal/mol,85.0
weight_one_sensitivity,A_structure_only.rmse,0.5958469627611127,kcal/mol,85.0
weight_one_sensitivity,F_full_solvai.mae,0.20641749455337713,kcal/mol,85.0
weight_one_sensitivity,F_full_solvai.rmse,0.3262665997035961,kcal/mol,85.0
weight_one_sensitivity,paired_mae_difference,-0.10334865196078398,kcal/mol,85.0
