functional_group_family,n,confsolv_mae,smd_mae,improvement
Amides,4,0.46735943562610305,0.47824384093915495,0.010884405313051904
Aromatics,13,0.298647285578618,0.28737605660697196,-0.011271228971646063
Ethers,4,0.2669587011684308,0.24364930665784884,-0.02330939451058195
Acids,3,0.25709560920047075,0.2685754151969452,0.011479805996474468
Alkanes,13,0.230706224477683,0.23766275629154834,0.006956531813865352
Alcohols,13,0.1797852377560709,0.18452877916836202,0.004743541412291136
Ketones,5,0.15994637345679008,0.15599643518518472,-0.003949938271605363
Aldehydes,3,0.12723276102292816,0.15267099838330309,0.025438237360374927
Sulfides,4,0.12404947365520297,0.12115041501322749,-0.0028990586419754827
Heterorings,5,0.12158255952380959,0.155001627160496,0.03341906763668642
Amines,5,0.10720505070546756,0.13172804585537837,0.024522995149910812
Thiols,4,0.09299048754409178,0.09826436915784864,0.005273881613756859
Alkenes,5,0.07442100921516767,0.08413149149030003,0.009710482275132354
Esters,4,0.06400977733686075,0.06223942350088196,-0.0017703538359787885
