repeat,split_seed,outer_fold,selected,inner_mae_narrow response without SMD,inner_mae_narrow response + SMD water,inner_mae_narrow response + SMD + ConfSolv response
0,314159,0,narrow response + SMD + ConfSolv response,0.23919735905890113,0.21559586804582936,0.21304362221833167
0,314159,1,narrow response + SMD + ConfSolv response,0.21157308267195762,0.21030110359282608,0.2035462476365545
0,314159,2,narrow response + SMD water,0.23622914561935893,0.20696420888772174,0.21319203714402427
0,314159,3,narrow response + SMD water,0.21819530708255505,0.2020396954948647,0.20206394334539377
0,314159,4,narrow response + SMD water,0.22784568380407735,0.21617124563297557,0.22583537721755384
1,271828,0,narrow response without SMD,0.21450507967631485,0.21707031445494848,0.22437018258831307
1,271828,1,narrow response + SMD + ConfSolv response,0.22024511186974802,0.21436985968137257,0.2092925947517896
1,271828,2,narrow response + SMD + ConfSolv response,0.23598006669195482,0.22320957848972944,0.22145415225256773
1,271828,3,narrow response + SMD water,0.2288923395872239,0.2038377766300965,0.2147388652058047
1,271828,4,narrow response + SMD water,0.22543749162581678,0.20010836572128848,0.20480518452380927
2,161803,0,narrow response + SMD water,0.20861530433979156,0.19692742855197656,0.2043795755038126
2,161803,1,narrow response + SMD + ConfSolv response,0.22410796180555556,0.22001152133909124,0.21459056214986016
2,161803,2,narrow response + SMD water,0.21484809019024265,0.19133819122510126,0.1983851347455649
2,161803,3,narrow response + SMD + ConfSolv response,0.24683965967359156,0.22998546118308444,0.22426642619825718
2,161803,4,narrow response + SMD + ConfSolv response,0.2503102537542796,0.23595759312752876,0.22114599449502026
3,141421,0,narrow response + SMD water,0.25545604943558614,0.2157245143946467,0.22544993217009043
3,141421,1,narrow response + SMD + ConfSolv response,0.2147411974011827,0.2120833475820883,0.20881418312324923
3,141421,2,narrow response + SMD water,0.2168490201914099,0.20794809510192971,0.21391853586017717
3,141421,3,narrow response + SMD + ConfSolv response,0.2411391045362589,0.21488856233465622,0.21368894713857778
3,141421,4,narrow response + SMD water,0.19578597983776846,0.18810614671840967,0.19095052268129487
4,173205,0,narrow response + SMD + ConfSolv response,0.22991971597805794,0.2211365045323685,0.21319210463351998
4,173205,1,narrow response + SMD water,0.22610744452225334,0.22191750854925305,0.22616591190087143
4,173205,2,narrow response + SMD + ConfSolv response,0.24531936277427643,0.22716083229263914,0.22124927550186738
4,173205,3,narrow response without SMD,0.21749324150910365,0.22025501263422045,0.22432796501517285
4,173205,4,narrow response + SMD water,0.23342055433006512,0.21759951745837244,0.22522381351151555
