candidate_id,candidate_name,candidate_smiles,source,match_type,match_value,source_row,source_smiles,source_connectivity_key
ALVPFGSHPUPROW,dipropyl disulfide,CCCSSCCC,teacher_combisolv_qm,full_inchi_key,ALVPFGSHPUPROW-UHFFFAOYSA-N,2698,CCCSSCCC,ALVPFGSHPUPROW
ALVPFGSHPUPROW,dipropyl disulfide,CCCSSCCC,teacher_combisolv_qm,connectivity_key,ALVPFGSHPUPROW,2698,CCCSSCCC,ALVPFGSHPUPROW
ALVPFGSHPUPROW,dipropyl disulfide,CCCSSCCC,teacher_combisolv_qm,fragment_parent_key,ALVPFGSHPUPROW,2698,CCCSSCCC,ALVPFGSHPUPROW
ALVPFGSHPUPROW,dipropyl disulfide,CCCSSCCC,teacher_combisolv_qm,uncharged_parent_key,ALVPFGSHPUPROW,2698,CCCSSCCC,ALVPFGSHPUPROW
ALVPFGSHPUPROW,dipropyl disulfide,CCCSSCCC,teacher_combisolv_qm,canonical_tautomer_key,ALVPFGSHPUPROW,2698,CCCSSCCC,ALVPFGSHPUPROW
DPCILIMHENXHQX,2-ethyl-3-methoxypyrazine,CCc1nccnc1OC,teacher_combisolv_qm,full_inchi_key,DPCILIMHENXHQX-UHFFFAOYSA-N,3647,CCc1nccnc1OC,DPCILIMHENXHQX
DPCILIMHENXHQX,2-ethyl-3-methoxypyrazine,CCc1nccnc1OC,teacher_combisolv_qm,connectivity_key,DPCILIMHENXHQX,3647,CCc1nccnc1OC,DPCILIMHENXHQX
DPCILIMHENXHQX,2-ethyl-3-methoxypyrazine,CCc1nccnc1OC,teacher_combisolv_qm,fragment_parent_key,DPCILIMHENXHQX,3647,CCc1nccnc1OC,DPCILIMHENXHQX
DPCILIMHENXHQX,2-ethyl-3-methoxypyrazine,CCc1nccnc1OC,teacher_combisolv_qm,uncharged_parent_key,DPCILIMHENXHQX,3647,CCc1nccnc1OC,DPCILIMHENXHQX
DPCILIMHENXHQX,2-ethyl-3-methoxypyrazine,CCc1nccnc1OC,teacher_combisolv_qm,canonical_tautomer_key,DPCILIMHENXHQX,3647,CCc1nccnc1OC,DPCILIMHENXHQX
FALCMQXTWHPRIH,"2,3-dichloropropene",C=C(Cl)CCl,teacher_combisolv_qm,full_inchi_key,FALCMQXTWHPRIH-UHFFFAOYSA-N,2170,C=C(Cl)CCl,FALCMQXTWHPRIH
FALCMQXTWHPRIH,"2,3-dichloropropene",C=C(Cl)CCl,teacher_combisolv_qm,connectivity_key,FALCMQXTWHPRIH,2170,C=C(Cl)CCl,FALCMQXTWHPRIH
FALCMQXTWHPRIH,"2,3-dichloropropene",C=C(Cl)CCl,teacher_combisolv_qm,fragment_parent_key,FALCMQXTWHPRIH,2170,C=C(Cl)CCl,FALCMQXTWHPRIH
FALCMQXTWHPRIH,"2,3-dichloropropene",C=C(Cl)CCl,teacher_combisolv_qm,uncharged_parent_key,FALCMQXTWHPRIH,2170,C=C(Cl)CCl,FALCMQXTWHPRIH
FALCMQXTWHPRIH,"2,3-dichloropropene",C=C(Cl)CCl,teacher_combisolv_qm,canonical_tautomer_key,FALCMQXTWHPRIH,2170,C=C(Cl)CCl,FALCMQXTWHPRIH
FUNUTBJJKQIVSY,"2,4-dichloro-1-methylbenzene",Cc1ccc(Cl)cc1Cl,teacher_combisolv_qm,full_inchi_key,FUNUTBJJKQIVSY-UHFFFAOYSA-N,1666,Cc1ccc(Cl)cc1Cl,FUNUTBJJKQIVSY
FUNUTBJJKQIVSY,"2,4-dichloro-1-methylbenzene",Cc1ccc(Cl)cc1Cl,teacher_combisolv_qm,connectivity_key,FUNUTBJJKQIVSY,1666,Cc1ccc(Cl)cc1Cl,FUNUTBJJKQIVSY
FUNUTBJJKQIVSY,"2,4-dichloro-1-methylbenzene",Cc1ccc(Cl)cc1Cl,teacher_combisolv_qm,fragment_parent_key,FUNUTBJJKQIVSY,1666,Cc1ccc(Cl)cc1Cl,FUNUTBJJKQIVSY
FUNUTBJJKQIVSY,"2,4-dichloro-1-methylbenzene",Cc1ccc(Cl)cc1Cl,teacher_combisolv_qm,uncharged_parent_key,FUNUTBJJKQIVSY,1666,Cc1ccc(Cl)cc1Cl,FUNUTBJJKQIVSY
FUNUTBJJKQIVSY,"2,4-dichloro-1-methylbenzene",Cc1ccc(Cl)cc1Cl,teacher_combisolv_qm,canonical_tautomer_key,FUNUTBJJKQIVSY,1666,Cc1ccc(Cl)cc1Cl,FUNUTBJJKQIVSY
GAPFWGOSHOCNBM,2-propyl nitrate,CC(C)O[N+](=O)[O-],teacher_combisolv_qm,full_inchi_key,GAPFWGOSHOCNBM-UHFFFAOYSA-N,95,CC(C)O[N+](=O)[O-],GAPFWGOSHOCNBM
GAPFWGOSHOCNBM,2-propyl nitrate,CC(C)O[N+](=O)[O-],teacher_combisolv_qm,connectivity_key,GAPFWGOSHOCNBM,95,CC(C)O[N+](=O)[O-],GAPFWGOSHOCNBM
GAPFWGOSHOCNBM,2-propyl nitrate,CC(C)O[N+](=O)[O-],teacher_combisolv_qm,fragment_parent_key,GAPFWGOSHOCNBM,95,CC(C)O[N+](=O)[O-],GAPFWGOSHOCNBM
GAPFWGOSHOCNBM,2-propyl nitrate,CC(C)O[N+](=O)[O-],teacher_combisolv_qm,uncharged_parent_key,GAPFWGOSHOCNBM,95,CC(C)O[N+](=O)[O-],GAPFWGOSHOCNBM
GAPFWGOSHOCNBM,2-propyl nitrate,CC(C)O[N+](=O)[O-],teacher_combisolv_qm,canonical_tautomer_key,GAPFWGOSHOCNBM,95,CC(C)O[N+](=O)[O-],GAPFWGOSHOCNBM
IDJOCJAIQSKSOP,"2,2-dichloroethanol",OCC(Cl)Cl,teacher_combisolv_qm,full_inchi_key,IDJOCJAIQSKSOP-UHFFFAOYSA-N,3392,OCC(Cl)Cl,IDJOCJAIQSKSOP
IDJOCJAIQSKSOP,"2,2-dichloroethanol",OCC(Cl)Cl,teacher_combisolv_qm,connectivity_key,IDJOCJAIQSKSOP,3392,OCC(Cl)Cl,IDJOCJAIQSKSOP
IDJOCJAIQSKSOP,"2,2-dichloroethanol",OCC(Cl)Cl,teacher_combisolv_qm,fragment_parent_key,IDJOCJAIQSKSOP,3392,OCC(Cl)Cl,IDJOCJAIQSKSOP
IDJOCJAIQSKSOP,"2,2-dichloroethanol",OCC(Cl)Cl,teacher_combisolv_qm,uncharged_parent_key,IDJOCJAIQSKSOP,3392,OCC(Cl)Cl,IDJOCJAIQSKSOP
IDJOCJAIQSKSOP,"2,2-dichloroethanol",OCC(Cl)Cl,teacher_combisolv_qm,canonical_tautomer_key,IDJOCJAIQSKSOP,3392,OCC(Cl)Cl,IDJOCJAIQSKSOP
ISAVYTVYFVQUDY,"4-(1,1,3,3-tetramethylbutyl)-phenol",CC(C)(C)CC(C)(C)c1ccc(O)cc1,teacher_combisolv_qm,full_inchi_key,ISAVYTVYFVQUDY-UHFFFAOYSA-N,418,CC(C)(C)CC(C)(C)c1ccc(O)cc1,ISAVYTVYFVQUDY
ISAVYTVYFVQUDY,"4-(1,1,3,3-tetramethylbutyl)-phenol",CC(C)(C)CC(C)(C)c1ccc(O)cc1,teacher_combisolv_qm,connectivity_key,ISAVYTVYFVQUDY,418,CC(C)(C)CC(C)(C)c1ccc(O)cc1,ISAVYTVYFVQUDY
ISAVYTVYFVQUDY,"4-(1,1,3,3-tetramethylbutyl)-phenol",CC(C)(C)CC(C)(C)c1ccc(O)cc1,teacher_combisolv_qm,fragment_parent_key,ISAVYTVYFVQUDY,418,CC(C)(C)CC(C)(C)c1ccc(O)cc1,ISAVYTVYFVQUDY
ISAVYTVYFVQUDY,"4-(1,1,3,3-tetramethylbutyl)-phenol",CC(C)(C)CC(C)(C)c1ccc(O)cc1,teacher_combisolv_qm,uncharged_parent_key,ISAVYTVYFVQUDY,418,CC(C)(C)CC(C)(C)c1ccc(O)cc1,ISAVYTVYFVQUDY
ISAVYTVYFVQUDY,"4-(1,1,3,3-tetramethylbutyl)-phenol",CC(C)(C)CC(C)(C)c1ccc(O)cc1,teacher_combisolv_qm,canonical_tautomer_key,ISAVYTVYFVQUDY,418,CC(C)(C)CC(C)(C)c1ccc(O)cc1,ISAVYTVYFVQUDY
IYRWEQXVUNLMAY,carbonyl fluoride,O=C(F)F,teacher_combisolv_qm,full_inchi_key,IYRWEQXVUNLMAY-UHFFFAOYSA-N,378,O=C(F)F,IYRWEQXVUNLMAY
IYRWEQXVUNLMAY,carbonyl fluoride,O=C(F)F,teacher_combisolv_qm,connectivity_key,IYRWEQXVUNLMAY,378,O=C(F)F,IYRWEQXVUNLMAY
IYRWEQXVUNLMAY,carbonyl fluoride,O=C(F)F,teacher_combisolv_qm,fragment_parent_key,IYRWEQXVUNLMAY,378,O=C(F)F,IYRWEQXVUNLMAY
IYRWEQXVUNLMAY,carbonyl fluoride,O=C(F)F,teacher_combisolv_qm,uncharged_parent_key,IYRWEQXVUNLMAY,378,O=C(F)F,IYRWEQXVUNLMAY
IYRWEQXVUNLMAY,carbonyl fluoride,O=C(F)F,teacher_combisolv_qm,canonical_tautomer_key,IYRWEQXVUNLMAY,378,O=C(F)F,IYRWEQXVUNLMAY
JZBCTZLGKSYRSF,"2-ethyl-3,5-dimethylpyrazine",CCc1ncc(C)nc1C,teacher_combisolv_qm,full_inchi_key,JZBCTZLGKSYRSF-UHFFFAOYSA-N,288,CCc1ncc(C)nc1C,JZBCTZLGKSYRSF
JZBCTZLGKSYRSF,"2-ethyl-3,5-dimethylpyrazine",CCc1ncc(C)nc1C,teacher_combisolv_qm,connectivity_key,JZBCTZLGKSYRSF,288,CCc1ncc(C)nc1C,JZBCTZLGKSYRSF
JZBCTZLGKSYRSF,"2-ethyl-3,5-dimethylpyrazine",CCc1ncc(C)nc1C,teacher_combisolv_qm,fragment_parent_key,JZBCTZLGKSYRSF,288,CCc1ncc(C)nc1C,JZBCTZLGKSYRSF
JZBCTZLGKSYRSF,"2-ethyl-3,5-dimethylpyrazine",CCc1ncc(C)nc1C,teacher_combisolv_qm,uncharged_parent_key,JZBCTZLGKSYRSF,288,CCc1ncc(C)nc1C,JZBCTZLGKSYRSF
JZBCTZLGKSYRSF,"2-ethyl-3,5-dimethylpyrazine",CCc1ncc(C)nc1C,teacher_combisolv_qm,canonical_tautomer_key,JZBCTZLGKSYRSF,288,CCc1ncc(C)nc1C,JZBCTZLGKSYRSF
KSMVNVHUTQZITP,"2,3,7,8-tetrachlorodibenzofuran",Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,teacher_combisolv_qm,full_inchi_key,KSMVNVHUTQZITP-UHFFFAOYSA-N,2476,Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,KSMVNVHUTQZITP
KSMVNVHUTQZITP,"2,3,7,8-tetrachlorodibenzofuran",Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,teacher_combisolv_qm,connectivity_key,KSMVNVHUTQZITP,2476,Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,KSMVNVHUTQZITP
KSMVNVHUTQZITP,"2,3,7,8-tetrachlorodibenzofuran",Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,teacher_combisolv_qm,fragment_parent_key,KSMVNVHUTQZITP,2476,Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,KSMVNVHUTQZITP
KSMVNVHUTQZITP,"2,3,7,8-tetrachlorodibenzofuran",Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,teacher_combisolv_qm,uncharged_parent_key,KSMVNVHUTQZITP,2476,Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,KSMVNVHUTQZITP
