candidate_id,name,smiles,canonical_isomeric_smiles,full_inchi_key,connectivity_key,fragment_parent_key,uncharged_parent_key,canonical_tautomer_key,experimental_dg_kcal_mol,temperature_k,hscp_units,standard_state,sign_convention,heavy_atom_count,molecular_weight,n_eligible_measurement_rows,n_independent_source_refs,source_record_ids,source_refs,source_dois,target_scope_compatible,known_registry_conflict,scientifically_eligible,overlap_endpoint_public_1280_exact,overlap_endpoint_public_1280_standardized,overlap_endpoint_arrow_85_exact,overlap_endpoint_arrow_85_standardized,overlap_teacher_combisolv_qm_exact,overlap_teacher_combisolv_qm_standardized,overlap_teacher_abraham_exact,overlap_teacher_abraham_standardized,overlap_teacher_openff_exact,overlap_teacher_openff_standardized,overlap_teacher_gbn2_exact,overlap_teacher_gbn2_standardized,overlap_teacher_molsolv_smd_exact,overlap_teacher_molsolv_smd_standardized,overlap_teacher_confsolv_exact,overlap_teacher_confsolv_standardized,any_endpoint_overlap,any_teacher_source_overlap,endpoint_disjoint_eligible,strict_response_source_disjoint,endpoint_cohort_exclusion_reason
AKDRYEADQPNLOH,PFBHA-ethanal,CC=NOCc1c(F)c(F)c(F)c(F)c1F,CC=NOCc1c(F)c(F)c(F)c(F)c1F,AKDRYEADQPNLOH-UHFFFAOYSA-N,AKDRYEADQPNLOH,AKDRYEADQPNLOH,AKDRYEADQPNLOH,AKDRYEADQPNLOH,-2.282416084376685,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,16,239.14299999999997,1,1,SANDER-32462,2497,10.1021/JE025545I,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
ALVYVCQIFHTIRD,"1H,1H,2H,2H-perfluorodecane sulfonic acid",O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ALVYVCQIFHTIRD-UHFFFAOYSA-N,ALVYVCQIFHTIRD,ALVYVCQIFHTIRD,ALVYVCQIFHTIRD,ALVYVCQIFHTIRD,-1.0050294233768833,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,31,528.1799999999998,1,1,SANDER-43981,3939,10.1016/J.HAZL.2022.100070,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
AWZOLILCOUMRDG,edifenphos,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,AWZOLILCOUMRDG-UHFFFAOYSA-N,AWZOLILCOUMRDG,AWZOLILCOUMRDG,AWZOLILCOUMRDG,AWZOLILCOUMRDG,-9.676930122691385,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,19,310.38000000000005,1,1,SANDER-44734,2538,10.1584/JPESTICS.18.3_201,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
BCTASVPUYLXFBW,PFBHA-1-hydroxypropanone,CC(CO)=NOCc1c(F)c(F)c(F)c(F)c1F,CC(CO)=NOCc1c(F)c(F)c(F)c(F)c1F,BCTASVPUYLXFBW-UHFFFAOYSA-N,BCTASVPUYLXFBW,BCTASVPUYLXFBW,BCTASVPUYLXFBW,BCTASVPUYLXFBW,-2.4906140436893542,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,18,269.1689999999999,1,1,SANDER-32476,2497,10.1021/JE025545I,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
BMZVDHQOAJUZJL,"1,3-dibromo-2-methoxybenzene",COc1c(Br)cccc1Br,COc1c(Br)cccc1Br,BMZVDHQOAJUZJL-UHFFFAOYSA-N,BMZVDHQOAJUZJL,BMZVDHQOAJUZJL,BMZVDHQOAJUZJL,BMZVDHQOAJUZJL,-2.677294821763553,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,10,265.932,1,1,SANDER-41494,1524,10.1007/S002160101077,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
BTRCDLZQISXWHZ,"4-bromo-2,3-dichloro-1-methoxybenzene",COc1ccc(Br)c(Cl)c1Cl,COc1ccc(Br)c(Cl)c1Cl,BTRCDLZQISXWHZ-UHFFFAOYSA-N,BTRCDLZQISXWHZ,BTRCDLZQISXWHZ,BTRCDLZQISXWHZ,BTRCDLZQISXWHZ,-1.9585971639928252,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,11,255.926,1,1,SANDER-42145,1524,10.1007/S002160101077,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
BULLJMKUVKYZDJ,perfluorohexyl iodide,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,BULLJMKUVKYZDJ-UHFFFAOYSA-N,BULLJMKUVKYZDJ,BULLJMKUVKYZDJ,BULLJMKUVKYZDJ,BULLJMKUVKYZDJ,-0.0777986830724094,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,20,445.944,1,1,SANDER-42492,3939,10.1016/J.HAZL.2022.100070,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
BVSOVPUWHJWGEP,"6-bromo-2,5-dichloro-1-methoxybenzene",COc1c(Cl)ccc(Cl)c1Br,COc1c(Cl)ccc(Cl)c1Br,BVSOVPUWHJWGEP-UHFFFAOYSA-N,BVSOVPUWHJWGEP,BVSOVPUWHJWGEP,BVSOVPUWHJWGEP,BVSOVPUWHJWGEP,-1.7472726277691262,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,11,255.926,1,1,SANDER-42153,3118,10.1016/J.CHROMA.2004.12.027,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
CCEFMUBVSUDRLG,limonene oxide,C=C(C)C1CCC2(C)OC2C1,C=C(C)C1CCC2(C)OC2C1,CCEFMUBVSUDRLG-UHFFFAOYSA-N,CCEFMUBVSUDRLG,CCEFMUBVSUDRLG,CCEFMUBVSUDRLG,CCEFMUBVSUDRLG,-2.9228405979354397,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,11,152.237,1,1,SANDER-24068,2462,10.1021/JE980070+,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
CCEKAJIANROZEO,N-ethylperfluorooctanesulfonamide,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCEKAJIANROZEO-UHFFFAOYSA-N,CCEKAJIANROZEO,CCEKAJIANROZEO,CCEKAJIANROZEO,CCEKAJIANROZEO,-0.501220058409582,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,31,527.1959999999998,1,1,SANDER-44041,3939,10.1016/J.HAZL.2022.100070,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
